symbol,Date,regime_score,raw_regime_score,regime_label,trend_score,structure_score,monthly_structure_score,weekly_structure_score,daily_structure_score,trendline_structure_score,volatility_score,volatility_expansion_score,volatility_compression_score,persistence_score,days_in_current_regime,calibration_q10,calibration_q30,calibration_q70,calibration_q90
NIFTY_50,2021-08-26,71.1727446502095,71.1727446502095,STRONG_RISK_ON,83.75234175728016,45.58477602359658,33.759734817797046,33.759734817797046,33.759734817797046,81.0598996409952,56.50156997762635,14.58833575052196,85.41166424947804,48.66666666666667,1,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-09-08,77.45541436026235,77.45541436026235,STRONG_RISK_ON,88.87387410293259,54.68105974572893,42.24609525065789,42.24609525065789,42.24609525065789,91.98595323094209,59.20070931860618,20.63235588386516,79.36764411613484,50.0,2,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-09-09,73.85385078073948,73.85385078073948,STRONG_RISK_ON,88.95822495536831,44.42064071183318,28.625325572371672,28.625325572371672,28.625325572371672,91.80658613021771,58.85009369275803,18.098099722527504,81.90190027747249,50.0,3,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-09-13,73.70536905843518,73.70536905843518,STRONG_RISK_ON,89.02245663011593,43.970558005606684,28.22435804953023,28.22435804953023,28.22435804953023,91.20915787383605,58.69630294276589,16.92295414816874,83.07704585183127,50.0,4,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-09-14,73.8702654146467,73.8702654146467,STRONG_RISK_ON,89.07927094861886,44.44912168599877,28.933893049362297,28.933893049362297,28.933893049362297,90.9948075959082,58.48958233491803,15.41225001934288,84.58774998065712,50.0,5,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-09-20,74.07117463003763,74.07117463003763,STRONG_RISK_ON,88.98864106354387,44.63001734032704,29.418230015756148,29.418230015756148,29.418230015756148,90.26537931403973,59.70898686100827,23.75308325845285,76.24691674154715,50.0,6,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-09-21,74.61496826646453,74.61496826646453,STRONG_RISK_ON,89.47353032775993,45.34086767182697,29.872213147230763,29.872213147230763,29.872213147230763,91.74683124561557,60.05932944963418,24.957292232788074,75.04270776721192,50.0,7,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-09-22,74.6676938869931,74.6676938869931,STRONG_RISK_ON,89.5198507047811,45.691709693881535,30.74174016400848,30.74174016400848,30.74174016400848,90.54161828350071,59.43780094496011,20.705687988578152,79.29431201142185,50.0,8,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-09-27,76.89372583022434,76.89372583022434,STRONG_RISK_ON,89.83559306567838,51.7125057679938,37.561439412825315,37.561439412825315,37.561439412825315,94.16570483349925,59.17701519058218,18.23038411729835,81.76961588270166,50.0,9,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-09-28,76.50640815796287,76.50640815796287,STRONG_RISK_ON,89.87916187875962,50.26022258879189,36.42245964314453,36.42245964314453,36.42245964314453,91.77351142573399,59.83832875003932,22.537480616489702,77.4625193835103,50.0,10,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-09-29,74.851673951781,74.851673951781,STRONG_RISK_ON,89.60558247847123,46.04528954971787,31.266060819661174,31.266060819661174,31.266060819661174,90.38297573988795,59.553542467627466,21.27725733441685,78.72274266558314,50.0,11,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-09-30,73.28274437667865,73.28274437667865,STRONG_RISK_ON,88.45812600166096,43.51922527495513,28.629163062373642,28.629163062373642,28.629163062373642,88.18941191269963,58.81301686409247,19.017818423407597,80.98218157659241,50.0,12,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-10-01,73.54360485432339,73.54360485432339,STRONG_RISK_ON,87.3185959564051,46.14508565527646,32.8259887118941,32.8259887118941,32.8259887118941,86.10237648542356,58.22351264516053,17.746693736125017,82.25330626387498,50.0,13,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
NIFTY_50,2021-10-04,74.44601936381905,74.44601936381905,STRONG_RISK_ON,88.49921155481148,46.81947803990519,33.200809346958245,33.200809346958245,33.200809346958245,87.67548411874606,58.73064181630997,18.372785147506317,81.62721485249368,50.0,14,32.19655334963528,52.12288298055046,63.5617625859509,68.77487252368036
