ticker,company_name,quarter_label,quarter_end_date,revenue,operating_profit,net_profit,eps,revenue_qoq,revenue_yoy,profit_qoq,profit_yoy,data_quality_status,fetched_at,quarter_sort_id,status,result_declared_date,updated_at,weight,revenue_q4_fy25,net_profit_q4_fy25,operating_profit_q4_fy25,revenue_q3_fy26,net_profit_q3_fy26,operating_profit_q3_fy26,revenue_yoy_growth,profit_yoy_growth,operating_profit_yoy_growth,revenue_qoq_growth,profit_qoq_growth,operating_profit_qoq_growth,weighted_revenue,weighted_revenue_q4_fy25,weighted_revenue_q3_fy26,weighted_profit,weighted_profit_q4_fy25,weighted_profit_q3_fy26,weighted_operating_profit,weighted_operating_profit_q4_fy25,weighted_operating_profit_q3_fy26,index_name
ADANIENT.NS,Adani Enterprises Limited,Q4 FY26,2026-03-31,324390000000.0,37310000000.0,-1670000000.0,-1.71,0.3069701853344077,0.2029592820588889,-9999.0,-9999.0,DECLARED,2026-05-14T11:29:00.468904+00:00,202604.0,announced_with_numbers,2026-05-21,2026-05-21T19:12:07.866767,0.007150765984710383,269660000000.0,40150000000.0,37100000000.0,248200000000.0,57270000000.0,36420000000.0,20.295928205888895,-104.15940224159401,0.5660377358490566,30.697018533440772,-102.91601187358128,2.443712246018671,2319636977.780201,1928275555.4370017,1774820117.405117,-11941779.19446634,287103254.28612185,409524367.9443636,266795078.88954437,265293418.0327552,260430897.16315213,NIFTY 50
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Q4 FY26,2026-03-31,107380000000.0,60200000000.0,33080000000.0,14.45,0.1064399793920659,0.2650801131008483,0.0870851133749589,0.0942772080714522,DECLARED,2026-05-14T11:29:06.044148+00:00,202604.0,announced_with_numbers,2026-05-21,2026-05-21T19:12:07.866767,0.012084565188122197,84880000000.0,30230000000.0,50060000000.0,97050000000.0,30430000000.0,57860000000.0,26.50801131008483,9.42772080714522,20.255693168198164,10.643997939206594,8.708511337495892,4.044244728655375,1297640609.9005616,1025737893.1678121,1172807051.5072591,399757416.4230823,365316405.636934,367733318.67455846,727490824.3249563,604953333.3173971,699212941.7847503,NIFTY 50
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Q4 FY26,2026-03-31,66060000000.0,10110000000.0,5510000000.0,36.81,0.0199166280685502,0.1813304721030043,0.067829457364341,0.3309178743961353,DECLARED,2026-05-21T12:33:18.046679+00:00,202604.0,announced_with_numbers,2026-05-21,2026-05-21T19:12:07.866767,0.00788505396216198,55920000000.0,4140000000.0,7700000000.0,64770000000.0,5160000000.0,9650000000.0,18.13304721030043,33.091787439613526,31.2987012987013,1.9916628068550255,6.782945736434108,4.766839378238342,520886664.7404204,440932217.5640979,510714945.12923145,43446647.33151251,32644123.403350595,40686878.444755815,79717895.55745761,60714915.50864725,76090770.7348631,NIFTY 50
AXISBANK.NS,Axis Bank Limited,Q4 FY26,2026-03-31,341710000000.0,,76420000000.0,24.46,0.0137055385802011,0.0529705411068655,0.0824362606232294,0.0177120788387268,DECLARED,2026-05-08T16:55:57.546778+00:00,202604.0,announced_with_numbers,2026-05-21,2026-05-21T19:12:07.866767,0.03390797926202412,324520000000.0,75090000000.0,,337090000000.0,70600000000.0,,5.2970541106865525,1.7712078838726861,,1.3705538580201133,8.243626062322946,,11586695593.626263,11003817430.112068,11430040729.43571,2591247775.2038836,2546150162.7853913,2393903335.898903,,,,NIFTY 50
BAJAJ-AUTO.NS,Bajaj Auto Limited,Q4 FY26,2026-03-31,178320000000.0,30750000000.0,34920000000.0,131.02,0.1004690199950629,0.4100901470820813,0.2698181818181818,0.9378468368479468,DECLARED,2026-05-20T18:07:50.583175+00:00,202604.0,announced_with_numbers,2026-05-21,2026-05-21T19:12:07.866767,0.010743533340461431,126460000000.0,18020000000.0,23580000000.0,162040000000.0,27500000000.0,37300000000.0,41.00901470820813,93.78468368479467,30.407124681933844,10.046901999506295,26.981818181818184,-17.560321715817693,1915786865.2710824,1358627226.2347527,1740882142.4883704,375164184.24891317,193598470.795115,295447166.8626894,330363650.219189,253332516.16808054,400733793.5992114,NIFTY 50
BAJAJFINSV.NS,Bajaj Finserv Limited,Q4 FY26,2026-03-31,384940000000.0,145110000000.0,52260000000.0,15.86,-0.0305731842449884,0.0518923350184451,0.1964285714285714,0.0988225399495374,DECLARED,2026-05-14T11:30:07.523686+00:00,202604.0,announced_with_numbers,2026-05-21,2026-05-21T19:12:07.866767,0.009380395963951996,365950000000.0,47560000000.0,127280000000.0,397080000000.0,43680000000.0,138660000000.0,5.189233501844514,9.882253994953743,14.008485229415463,-3.0573184244988414,19.642857142857142,4.651665945478148,3610889622.3636813,3432755903.008233,3724767629.366059,490219493.0761313,446131632.0455569,409735695.7054232,1361189258.3290741,1193936798.29181,1300685704.3615837,NIFTY 50
BAJFINANCE.NS,Bajaj Finance Limited,Q4 FY26,2026-03-31,216060000000.0,,55530000000.0,8.78,0.0282206253271784,0.1810429649065267,0.3657156910969011,0.2215134183897932,DECLARED,2026-05-13T17:38:53.688504+00:00,202604.0,announced_with_numbers,2026-05-21,2026-05-21T19:12:07.866767,0.022513627023412395,182940000000.0,45460000000.0,,210130000000.0,40660000000.0,,18.104296490652676,22.15134183897932,,2.8220625327178412,36.57156910969011,,4864294254.678482,4118642927.6630635,4730788446.4296465,1250181708.6100903,1023469484.4843274,915404074.771948,,,,NIFTY 50
BEL.NS,Bharat Electronics Limited,Q4 FY26,2026-03-31,102240000000.0,29820000000.0,22260000000.0,3.04,0.4291305563321219,0.1173770491803278,0.4088607594936709,0.0465444287729196,DECLARED,2026-05-21T12:34:14.316402+00:00,202604.0,announced_with_numbers,2026-05-21,2026-05-21T19:12:07.866767,0.01368993858505976,91500000000.0,21270000000.0,28160000000.0,71540000000.0,15800000000.0,21270000000.0,11.737704918032787,4.65444287729196,5.894886363636364,42.91305563321219,40.88607594936709,40.19746121297602,1399659320.9365098,1252629380.532968,979378206.3751752,304738032.9034302,291184993.70422107,216301029.6439442,408233968.606482,385508670.55528283,291184993.70422107,NIFTY 50
BHARTIARTL.NS,Bharti Airtel Limited,Q4 FY26,2026-03-31,553830000000.0,314920000000.0,92470000000.0,12.02,0.0259530954762698,0.1568009023310218,0.0874985299306127,-0.2588169285027252,DECLARED,2026-05-21T12:34:27.508015+00:00,202604.0,announced_with_numbers,2026-05-21,2026-05-21T19:12:07.866767,0.05275044330670026,478760000000.0,124760000000.0,270090000000.0,539820000000.0,85030000000.0,307830000000.0,15.680090233102181,-25.881692850272525,16.59817098004369,2.5953095476269867,8.749852993061273,2.303219309359062,29214778016.54981,25254802237.51582,28475744305.822937,4877833492.570574,6581145306.943925,4485370194.368724,16612169606.146048,14247367232.706675,16238168963.101542,NIFTY 50
CIPLA.NS,Cipla Limited,Q4 FY26,2026-03-31,65410000000.0,9550000000.0,5430000000.0,6.87,-0.0753463387051173,-0.0280832095096582,-0.1943620178041543,-0.5527182866556837,DECLARED,2026-05-21T12:35:50.503356+00:00,202604.0,announced_with_numbers,2026-05-21,2026-05-21T19:12:07.866767,0.007191359735356156,67300000000.0,12140000000.0,15380000000.0,70740000000.0,6740000000.0,12550000000.0,-2.808320950965825,-55.271828665568364,-37.90637191157347,-7.534633870511732,-19.43620178041543,-23.904382470119522,470386840.28964615,483978510.1894693,508716787.67909443,39049083.36298393,87303107.18722373,48469764.61630049,68677485.47265129,110603112.72977768,90251564.67871976,NIFTY 50
