declared_count,total_companies,declared_weight_pct,normal_revenue_yoy_growth_pct,weighted_revenue_yoy_growth_pct,normal_profit_yoy_growth_pct,weighted_profit_yoy_growth_pct,normal_operating_profit_yoy_growth_pct,weighted_operating_profit_yoy_growth_pct,normal_revenue_qoq_growth_pct,weighted_revenue_qoq_growth_pct,normal_profit_qoq_growth_pct,weighted_profit_qoq_growth_pct,normal_operating_profit_qoq_growth_pct,weighted_operating_profit_qoq_growth_pct,index_name,quarter_label,quarter,financial_year
39,50,82.04179582041796,17.746722288931792,17.40942809079312,9.60635328867201,3.926106035083285,8.530180681623566,9.545906971317864,4.081206370938785,4.413256710287784,-9.145074331884965,-0.885030486752203,9.243025822924812,7.074433844458724,NIFTY 50,Q1 FY27,Q1,FY27
46,50,94.03059694030595,9.3107914492272,8.930889621310566,5.18375241779497,0.230133635960681,1.7626184121770243,4.220062045267107,8.316486416721148,6.80960850897348,18.7338710866648,7.594468520172285,2.8412648426356446,-0.477586464425411,NIFTY 50,Q4 FY26,Q4,FY26
67,100,69.85,20.098401492160733,20.931967906781917,35.13604585548395,34.694765444971495,-26.21520368724552,-23.610826730563833,4.775726016516359,5.211399316257852,-0.8490570335905998,0.6898531491121385,-39.95881298660483,-40.275073612192706,NIFTY MIDCAP 100,Q1 FY27,Q1,FY27
87,100,88.28999999999999,13.38846999685831,13.903280449160004,28.597610553389195,28.713651780973333,26.168123114994973,28.49566788000204,6.187813836424705,6.04349222271235,29.282150968877247,30.175904386083097,14.923777915283791,15.023096718809963,NIFTY MIDCAP 100,Q4 FY26,Q4,FY26
49,100,51.47999999999999,37.938065700671,29.86753677977302,48.81307439824945,59.21740365041983,27.228702842465463,28.49459354483692,10.862895318695957,4.945514799418325,20.807435950755895,15.331002583243054,1.5093034177665137,9.722226336522253,NIFTY SMALLCAP 100,Q1 FY27,Q1,FY27
85,100,84.95000000000002,11.746782651578844,15.330486258657608,13.65852084525256,23.107267794508694,16.180143944249227,16.376603935970156,6.19585523377167,7.569870261796257,7.780414076313239,16.62970175108817,-5.282710358141393,-1.1732501934087898,NIFTY SMALLCAP 100,Q4 FY26,Q4,FY26
