symbol,date,eps
AARTIDRUGS,2025-03-31,6.89
AARTIDRUGS,2025-06-30,5.91
AARTIDRUGS,2025-09-30,4.96
AARTIDRUGS,2025-12-31,4.44
AARTIIND,2022-12-31,3.77
AARTIIND,2023-03-31,4.11
AARTIIND,2023-06-30,1.93
AARTIIND,2023-09-30,2.51
AARTIIND,2023-12-31,3.42
AARTIIND,2024-03-31,3.64
AARTIIND,2024-06-30,3.78
AARTIIND,2024-09-30,1.43
AARTIIND,2024-12-31,1.27
AARTIIND,2025-03-31,2.65
AARTIIND,2025-06-30,1.19
AARTIIND,2025-09-30,2.92
AARTIIND,2025-12-31,3.67
AARTIPHARM,2022-12-31,5.26
AARTIPHARM,2023-03-31,4.73
AARTIPHARM,2023-06-30,5.2
AARTIPHARM,2023-09-30,5.72
AARTIPHARM,2023-12-31,5.82
AARTIPHARM,2024-03-31,7.2
AARTIPHARM,2024-06-30,6.12
AARTIPHARM,2024-09-30,6.03
AARTIPHARM,2024-12-31,8.16
AARTIPHARM,2025-03-31,9.75
AARTIPHARM,2025-06-30,5.46
AARTIPHARM,2025-09-30,3.08
AARTIPHARM,2025-12-31,5.29
AARTISURF,2022-12-31,4.68
AARTISURF,2023-03-31,5.52
AARTISURF,2023-06-30,6.18
AARTISURF,2023-09-30,5.58
AARTISURF,2023-12-31,7.86
AARTISURF,2024-03-31,5.5
AARTISURF,2024-06-30,2.62
AARTISURF,2024-09-30,2.14
AARTISURF,2024-12-31,0.95
AARTISURF,2025-03-31,11.49
AARTISURF,2025-06-30,3.48
AARTISURF,2025-09-30,1.84
AARTISURF,2025-12-31,4.32
AARVI,2022-12-31,1.79
AARVI,2023-03-31,2.33
AARVI,2023-06-30,2.25
AARVI,2023-09-30,1.77
AARVI,2023-12-31,1.61
AARVI,2024-03-31,2.06
AARVI,2024-06-30,1.77
AARVI,2024-09-30,1.43
AARVI,2024-12-31,1.6
AARVI,2025-03-31,1.99
AARVI,2025-06-30,2.85
AARVI,2025-09-30,3.24
AARVI,2025-12-31,2.71
AAVAS,2021-03-31,11.14
AAVAS,2021-06-30,7.52
AAVAS,2021-09-30,11.65
AAVAS,2021-12-31,11.25
AAVAS,2022-03-31,14.63
AAVAS,2022-06-30,11.28
AAVAS,2022-09-30,13.49
AAVAS,2022-12-31,13.55
AAVAS,2023-03-31,16.04
AAVAS,2023-06-30,13.89
AAVAS,2023-09-30,15.38
AAVAS,2023-12-31,14.75
AAVAS,2024-03-31,18.0
ABANSENT,2022-12-31,0.55
ABANSENT,2023-03-31,0.19
