symbol,date,eps,log_eps
ABCAPITAL,2025-06-30,3.2,1.1631508098056809
ABCAPITAL,2025-09-30,3.27,1.184789984909162
ABCAPITAL,2025-12-31,3.61,1.2837077723447896
ABCOTS,2023-12-31,2.75,1.0116009116784799
ABCOTS,2024-03-31,1.84,0.6097655716208943
ABCOTS,2024-06-30,2.21,0.7929925155296614
ABCOTS,2024-09-30,1.71,0.5364933705145685
ABCOTS,2024-12-31,3.95,1.3737155789130306
ABCOTS,2025-03-31,1.29,0.25464221837358075
ABCOTS,2025-06-30,1.9,0.6418538861723947
ABCOTS,2025-09-30,1.65,0.5007752879124892
ABCOTS,2025-12-31,1.49,0.3987761199573678
ABDL,2023-03-31,-0.05,
ABDL,2023-06-30,-0.11,
ABDL,2023-09-30,0.46,-0.7765287894989963
ABDL,2023-12-31,-0.18,
ABDL,2024-03-31,-0.1,
ABDL,2024-06-30,0.4,-0.916290731874155
ABDL,2024-09-30,1.7,0.5306282510621704
ABDL,2024-12-31,2.05,0.7178397931503168
ABDL,2025-03-31,2.81,1.0331844833456545
ABDL,2025-06-30,2.02,0.7030975114131134
ABDL,2025-09-30,2.3,0.8329091229351039
ABDL,2025-12-31,2.38,0.8671004876833833
ABFRL,2023-03-31,-1.97,
ABFRL,2023-06-30,-1.49,
ABFRL,2023-09-30,-1.89,
ABFRL,2023-12-31,-0.82,
ABFRL,2024-03-31,-2.26,
ABFRL,2024-06-30,-1.59,
ABFRL,2024-09-30,-1.36,
ABFRL,2024-12-31,-0.48,
ABFRL,2025-03-31,-0.14,
ABFRL,2025-06-30,-1.74,
ABFRL,2025-09-30,-2.16,
ABFRL,2025-12-31,-1.25,
