ticker,company_name,quarter_label,quarter_end_date,revenue,operating_profit,net_profit,eps,revenue_qoq,revenue_yoy,profit_qoq,profit_yoy,data_quality_status,fetched_at,quarter_sort_id,status,result_declared_date,updated_at
A1L.BO,A-1 LIMITED,Q2 FY26,,,,,,,,,,missing,,,,,
A1L.BO,A-1 LIMITED,Q1 FY26,,,,,,,,,,missing,,,,,
A1L.BO,A-1 LIMITED,Q4 FY25,,,,,,,,,,missing,,,,,
A1L.BO,A-1 LIMITED,Q3 FY25,,,,,,,,,,missing,,,,,
A1L.BO,A-1 LIMITED,Q2 FY25,,,,,,,,,,missing,,,,,
A1L.BO,A-1 LIMITED,Q1 FY25,,,,,,,,,,missing,,,,,
AARTIDRUGS.NS,Aarti Drugs Ltd.,Q4 FY26,,,,,,,,,,DECLARED,,202604.0,scheduled,2026-06-16,2026-06-16T18:10:17.290632
AARTIDRUGS.NS,Aarti Drugs Ltd.,Q3 FY26,,,,,,,,,,missing,,,,,
AARTIDRUGS.NS,Aarti Drugs Ltd.,Q2 FY26,,,,,,,,,,missing,,,,,
AARTIDRUGS.NS,Aarti Drugs Ltd.,Q1 FY26,,,,,,,,,,missing,,,,,
AARTIDRUGS.NS,Aarti Drugs Ltd.,Q4 FY25,,,,,,,,,,missing,,,,,
AARTIDRUGS.NS,Aarti Drugs Ltd.,Q3 FY25,2024-12-31,5566000000.0,507600000.0,370900000.0,4.06,,,,,ok,2026-05-10T18:57:32.764175+00:00,,,,
AARTIDRUGS.NS,Aarti Drugs Ltd.,Q2 FY25,,,,,,,,,,missing,,,,,
AARTIDRUGS.NS,Aarti Drugs Ltd.,Q1 FY25,,,,,,,,,,missing,,,,,
AARTIIND.NS,Aarti Industries Limited,Q4 FY26,2026-03-31,22050000000.0,3410000000.0,1370000000.0,3.78,-0.04874892148403796,0.13134940995382247,0.03007518796992481,0.4270833333333333,DECLARED,2026-05-18T17:41:02.265431+00:00,202604.0,announced_with_numbers,2026-06-16,2026-06-16T18:10:17.290632
AARTIIND.NS,Aarti Industries Limited,Q3 FY26,2025-12-31,23180000000.0,3210000000.0,1330000000.0,3.67,0.10380952380952381,0.2595361777043622,0.25471698113207547,1.8925619834710743,ok,2026-05-11T06:23:31.702885+00:00,,,,
AARTIIND.NS,Aarti Industries Limited,Q2 FY26,2025-09-30,21000000000.0,2910000000.0,1060000000.0,2.92,0.2537313432835821,0.29030672434132915,1.4651162790697674,1.0252197172334734,ok,2026-05-11T06:23:31.452476+00:00,,,,
AARTIIND.NS,Aarti Industries Limited,Q1 FY26,2025-06-30,16750000000.0,2120000000.0,430000000.0,1.19,-0.14058491534120063,-0.09692793754515361,-0.5520833333333334,-0.6855805791167008,ok,2026-05-11T06:23:31.200895+00:00,,,,
AARTIIND.NS,Aarti Industries Limited,Q4 FY25,2025-03-31,19490000000.0,2620000000.0,960000000.0,2.65,0.05903192853572127,0.09917998578792425,1.0878642888212267,-0.2721207066494806,ok,2026-05-11T06:23:30.948691+00:00,,,,
AARTIIND.NS,Aarti Industries Limited,Q3 FY25,2024-12-31,18403600000.0,399700000.0,459800000.0,1.27,0.1307756586708612,0.0625635103926097,-0.1215131830340084,-0.6291935483870967,ok,2026-05-11T17:55:31.951353+00:00,,,,
AARTIIND.NS,Aarti Industries Limited,Q2 FY25,2024-09-30,16275200000.0,340200000.0,523400000.0,1.44,-0.12252666084387366,0.11933975240715268,-0.617285756069026,-0.4248351648351648,ok,2026-05-11T17:55:32.448304+00:00,,,,
AARTIIND.NS,Aarti Industries Limited,Q1 FY25,2024-06-30,18547800000.0,1447600000.0,1367600000.0,3.77,0.04604261366840746,0.31172560113154174,0.03692470998559406,0.9537142857142857,ok,2026-05-11T17:55:32.932183+00:00,,,,
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Q4 FY26,2026-03-31,,,-21265000.0,,,,-9999.0,-9999.0,DECLARED,2026-05-26T18:47:35.510631+00:00,202604.0,announced,2026-06-16,2026-06-16T18:10:17.290632
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Q3 FY26,,,,,,,,,,missing,,,,,
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Q2 FY26,,,,,,,,,,missing,,,,,
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Q1 FY26,,,,,,,,,,missing,,,,,
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Q4 FY25,,,,,,,,,,missing,,,,,
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Q3 FY25,2024-12-31,5377782000.0,1006256000.0,739880000.0,8.16,,,,,ok,2026-05-10T18:56:59.727474+00:00,,,,
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Q2 FY25,,,,,,,,,,missing,,,,,
