symbol,source_ticker,Date,Open,High,Low,Close,Volume,EMA10,EMA10_Dist,EMA21,EMA21_Dist,EMA50,EMA50_Dist,EMA200,EMA200_Dist,Above_EMA200,Above_EMA50,EMA50_Above_EMA200,days_above_ema200,days_below_ema200,days_above_ema50,days_below_ema50,EMA10_21_Spread,EMA21_50_Spread,EMA50_200_Spread,EMA50_Slope_5,EMA50_Slope_20,EMA200_Slope_20,RSI7,RSI14,RSI28,ADX14,ADX28,ROC1,ROC5,ROC10,ATR5,NATR5,ATR14,NATR14,ATR21,NATR21,ATR50,ATR5_ATR50_RATIO,GK_VOL_21,BB_WIDTH,VOL_Z_5,VOL_Z_20,CMF20
NIFTY_50,^NSEI,2021-02-01,13758.599609375,14336.349609375,13661.75,14281.2001953125,870500,14155.434720354622,0.008884607039092553,14206.456116737907,0.005261275434239385,14161.217958617559,0.008472593038646652,14068.346505239533,0.015129972096841152,1,1,1,1,0,1,0,-0.0035914232208250655,0.003194510405287506,0.00660144767854824,-0.0005456779525291111,0.000509034342538639,0.00017778829846107902,53.66438429594148,52.11441845586724,52.707806202087156,37.64531511335016,28.426760903697193,0.047423511101338356,-0.0063109396006991725,-0.010565551309533627,356.4463150076183,2.4959128793994094,231.9579255201673,1.6242187095472729,190.08383464279848,1.331007422647779,123.9383866148571,2.8759960875986534,0.009779488898870663,0.07639840700790525,1.5548722294081396,1.5246246370167844,0.06802785037269264
NIFTY_50,^NSEI,2021-02-02,14481.099609375,14731.7001953125,14469.150390625,14647.849609375,915000,14244.96470017651,0.028282618994029386,14246.582797886733,0.028165828759145604,14180.30155276491,0.032971658245090484,14074.112705280682,0.040765404974982794,1,1,1,2,0,2,0,-0.00011357795291535478,0.004674177405550281,0.007544976348269865,-0.0002983697123820184,0.0005609192638610261,0.00019427888124684545,63.78043504967096,59.89758653045739,59.073564923460324,36.02957845295515,27.94650798805027,0.02567357148195737,0.028720561808217582,0.025666417602072,375.2570520060947,2.561857624247593,247.5680736972982,1.6901325470931123,202.48460442171285,1.3823503778473907,130.46961888255996,2.8762025613325046,0.010027921780791873,0.07844066085298795,1.196981776571609,1.6833560989396383,0.05975178161740296
NIFTY_50,^NSEI,2021-02-03,14754.900390625,14868.849609375,14574.150390625,14789.9501953125,869500,14344.052972019417,0.031085860053841355,14295.979834016347,0.034553095837529295,14204.209342668737,0.04123713179051978,14081.235466375527,0.050330436603329844,1,1,1,3,0,3,0,0.003362703260722523,0.006460795467998069,0.008733173774904806,0.00016765867711194816,0.0006211763528242153,0.00021327173515661713,67.03464440438093,62.445272057144216,61.174060756443104,34.96997522993464,27.66217926374688,0.009701122671723184,0.05888313551548241,0.01851091665995286,359.1454853548758,2.428307604907978,250.93458405820547,1.696656045114582,206.87577653258364,1.3987591154847192,133.75421087990875,2.685115354441698,0.010272504829878322,0.08296387059991743,0.5334977687039528,1.221534570897144,0.05861503492704066
NIFTY_50,^NSEI,2021-02-04,14789.0498046875,14913.7001953125,14714.75,14895.650390625,884700,14444.343411765887,0.031244547847809615,14350.495339162588,0.037988587751022145,14231.324677882709,0.046680525374755734,14089.339097462585,0.05722846810519501,1,1,1,4,0,4,0,0.006539709632683375,0.008373827734046803,0.010077518855777573,0.0007576621634489023,0.0007013227237845143,0.0002377190167291765,69.41904903613982,64.26391278728931,62.65266422957498,34.12641072969766,27.443946073922444,0.0071467580293813615,0.07802400578804236,0.017135905273965468,327.10642734640066,2.1959862024707184,247.22141343351223,1.6596886134566373,206.49836790305585,1.3862997753560427,135.05813056856059,2.4219676813929327,0.010341664821988818,0.08807155351809982,0.4232805328955123,1.2096603065809135,0.10515051374688926
NIFTY_50,^NSEI,2021-02-05,14952.599609375,15014.650390625,14864.75,14924.25,935600,14531.59915508118,0.02702048416891024,14402.65485378417,0.0362152083425637,14258.498219926525,0.04669157787901352,14097.646668632113,0.05863413595171996,1,1,1,5,0,5,0,0.008952814783527956,0.010110225609607558,0.011409815771047382,0.0014435600527640702,0.000783534076565795,0.00026325078986326743,70.10170166085047,64.76116060342846,63.04753208294005,33.65591961592872,27.355932691861405,0.0019199973566108586,0.09458659788867219,0.02288501643651175,291.6652200021205,1.9543040353928707,240.2699118043328,1.6099295562881404,203.80322612791034,1.365584375281239,135.35497576968936,2.1548171269181697,0.01025344028477369,0.09209932520312865,1.389503095124412,1.4600423214200822,0.11890151877541283
NIFTY_50,^NSEI,2021-02-08,15064.2998046875,15159.900390625,15041.0498046875,15115.7998046875,671200,14637.817455009601,0.03265393568043956,14467.4862129572,0.044811764959531514,14292.117889917152,0.057631900402349875,14107.777545607789,0.07145152777047731,1,1,1,6,0,6,0,0.011773382019873749,0.012270282430553338,0.013066575774492144,0.001848710071155102,0.0008594108334125439,0.000287830601835215,74.54225517973214,67.97524984277052,65.57552231417137,33.63903240007313,27.435061371815987,0.01283480273296811,0.05844043903599494,0.05176068535430134,280.46225412669645,1.8554245078035727,239.93994600580902,1.5873453545700058,205.31975777062888,1.3583122323898336,137.36088406679556,2.0417912714533335,0.010272976394635465,0.10091612619695757,-1.7353290454678685,-0.6911985146145412,0.10048608955501452
NIFTY_50,^NSEI,2021-02-09,15164.150390625,15257.099609375,15064.2998046875,15109.2998046875,713300,14723.5415185874,0.026200101763091944,14525.832903114499,0.040167535002271694,14324.16423951599,0.05481196333993158,14117.742941220524,0.0702348008173361,1,1,1,7,0,7,0,0.013610828156402056,0.01407891310280887,0.014621409325478275,0.0020290497520912163,0.0009117605480919222,0.0003070185407704429,74.10651714224534,67.74943196620708,65.41803146506683,33.88610057444191,27.613854460215716,-0.0004300136336804483,0.031502930984296906,0.06112827466898896,262.92976423885716,1.7401849697713059,236.57279305450126,1.5657429272871206,204.7235695285751,1.3549507401068432,138.46966247920966,1.8988257754895184,0.010362484372576211,0.10819931677154208,-0.8790361504331858,-0.3670327721852916,0.041102966497708386
NIFTY_50,^NSEI,2021-02-10,15119.0498046875,15168.25,14977.2001953125,15106.5,624800,14793.170333389691,0.02118069754818491,14578.62082101318,0.03620913016860622,14354.844073260463,0.05236252814056592,14127.581319914847,0.06929131448036524,1,1,1,8,0,8,0,0.014716722179046269,0.015588936153584464,0.016086458693764995,0.0021209871941161307,0.0009503833657367178,0.0003230964764775024,73.8894637242048,67.64518978518774,65.34792565383239,33.619837315835134,27.613692133816944,-0.00018530340410816137,0.021403033851177256,0.08154644710936099,248.55377232858575,1.6453432120516716,233.3211510282869,1.544508331038208,204.07243786947626,1.3508915888490136,139.52126532337547,1.7814759044257529,0.010473354559783918,0.11427436893509138,-1.0336617923958886,-1.0010831377920937,0.015806426599440485
NIFTY_50,^NSEI,2021-02-11,15073.25,15188.5,15065.400390625,15173.2998046875,500100,14862.284782716564,0.020926460939075592,14632.682546801756,0.036945874835773426,14386.940376453682,0.054657863844407774,14137.986478967312,0.07322919195462485,1,1,1,9,0,9,0,0.01569105563388253,0.017080919494896,0.017608865156062473,0.0021869460797675267,0.000996478431571668,0.00034131929277538833,75.85772465196695,68.8756573186508,66.24300603351779,33.4350255056787,27.6360792498775,0.004421924647502795,0.018639630145807384,0.0981179745442331,223.46293973786862,1.4727379186749743,225.4481837673378,1.4858217175521038,200.2165888935488,1.319532280194554,139.19283220440795,1.6054198783002565,0.010409074255545858,0.12077485092011439,-1.1857090904587215,-1.7883680305100558,0.03095223241741769
NIFTY_50,^NSEI,2021-02-12,15186.2001953125,15243.5,15081.0,15163.2998046875,571800,14917.01478671128,0.01651034214939722,14680.920479336823,0.0328575668010476,14417.385844227558,0.051737115765587406,14148.188601611295,0.07174849245087087,1,1,1,10,0,10,0,0.016081710115299363,0.0182789472347221,0.019026975833896138,0.0022286726392963807,0.0010349050438117958,0.0003578963274249003,74.87199486349039,68.45594476263621,65.97842796720363,33.437375212266495,27.719101717168535,-0.0006590524229219685,0.016017542234115556,0.11211918494925088,211.2703517902949,1.3933006305460236,220.9518849268137,1.4571490887393115,198.42056085099884,1.308557922132887,139.6589755603198,1.5127588537912884,0.01030507281881625,0.12615488872738695,-0.5313690326170106,-1.1721038247427304,0.001630240450921139
