symbol,source_ticker,Date,Open,High,Low,Close,Volume,EMA10,EMA10_Dist,EMA21,EMA21_Dist,EMA50,EMA50_Dist,EMA200,EMA200_Dist,Above_EMA200,Above_EMA50,EMA50_Above_EMA200,days_above_ema200,days_below_ema200,days_above_ema50,days_below_ema50,EMA10_21_Spread,EMA21_50_Spread,EMA50_200_Spread,EMA50_Slope_5,EMA50_Slope_20,EMA200_Slope_20,RSI7,RSI14,RSI28,ADX14,ADX28,ROC1,ROC5,ROC10,ATR5,NATR5,ATR14,NATR14,ATR21,NATR21,ATR50,ATR5_ATR50_RATIO,GK_VOL_21,BB_WIDTH,VOL_Z_5,VOL_Z_20,CMF20,Nearest_Daily_Support,Nearest_Daily_Resistance,Daily_Support_Touch_Count,Daily_Resistance_Touch_Count,Dist_Daily_Support,Dist_Daily_Resistance,Nearest_Weekly_Support,Nearest_Weekly_Resistance,Weekly_Support_Touch_Count,Weekly_Resistance_Touch_Count,Dist_Weekly_Support,Dist_Weekly_Resistance,Nearest_Monthly_Support,Nearest_Monthly_Resistance,Monthly_Support_Touch_Count,Monthly_Resistance_Touch_Count,Dist_Monthly_Support,Dist_Monthly_Resistance,Trendline_Support_Value,Trendline_Resistance_Value,Dist_Trendline_Support,Dist_Trendline_Resistance,Trendline_Slope_Up,Trendline_Slope_Down,Trendline_Support_Slope,Trendline_Resistance_Slope
NIFTY_50,^NSEI,2021-08-26,16627.94921875,16683.69921875,16603.400390625,16636.900390625,253500,16518.826337892664,0.007147847572044813,16349.319665953046,0.017589767069686218,16031.85422602608,0.037740248636785205,15181.45872180703,0.09586968521854469,1,1,1,86,0,78,0,0.010367811958109216,0.019802166078306333,0.05601540140523654,0.0015052231590712672,0.0013952667754223214,0.0008643411353286501,73.82874561214004,71.33371476826359,66.39508494389662,25.06492524328553,11.420084777516895,0.00013525983096518424,0.004107151845442303,0.021781411698321707,134.3219291172726,0.8073735248962833,144.7310326385733,0.8699398880823389,147.97659449280877,0.889448100417759,162.22897629799738,0.827977419216019,0.005752142742350997,0.06735175512624357,-0.8028318327962752,-0.9160860066372479,0.17704557920623645,16376.0498046875,16701.849609375,2,1,0.015679037549836565,0.003903925444345348,16376.0498046875,16701.849609375,2,1,0.015679037549836565,0.003903925444345348,16376.0498046875,16701.849609375,2,1,0.015679037549836565,0.003903925444345348,15720.830845674127,16481.716258840574,0.055062513054840674,-0.009327706973101412,0.07000046677453042,0.04254324103113549,0.07000046677453042,0.04254324103113549
NIFTY_50,^NSEI,2021-09-08,17375.75,17383.400390625,17254.19921875,17353.5,252700,17134.819200116162,0.012762364010374566,16846.504949927275,0.030094969347034393,16380.930000162462,0.059372086922286633,15352.725231991299,0.13032049605366344,1,1,1,95,0,87,0,0.017114187841682352,0.028421765416261256,0.0669721337830392,0.0026058978484155395,0.001989272240434714,0.0010904772956507047,85.29736301679736,81.58441034272789,74.24749744402044,40.92758690530309,18.850968387197973,-0.0004953092983268625,0.016236000292804365,0.043213989623739346,148.8950710496974,0.8580117616025436,153.08469210929638,0.8821545631100146,153.62732993703443,0.8852815278591318,162.8773350836749,0.9141546365134573,0.0055101385182503805,0.08804853440522868,0.5696510430202844,-0.5094943326645485,0.3314257006683783,16565.599609375,17436.5,2,1,0.0454029671608033,0.00478289682196675,16565.599609375,17436.5,2,1,0.0454029671608033,0.00478289682196675,16565.599609375,17436.5,2,1,0.0454029671608033,0.00478289682196675,15747.89746493776,16524.87397443437,0.09252326822037285,-0.047749792581648125,0.06783316658493832,0.04322786816289459,0.06783316658493832,0.04322786816289459
NIFTY_50,^NSEI,2021-09-09,17312.849609375,17379.650390625,17302.69921875,17369.25,241500,17177.442981913224,0.011166214802094645,16894.027227206614,0.028129632230500606,16419.687647214912,0.05783071963285192,15372.790155056062,0.1298697129673177,1,1,1,96,0,88,0,0.01677609198179751,0.028888465492348053,0.06810068189309988,0.00256262185466003,0.0020438643905224428,0.0011146916950131702,85.81069969183088,81.87142930753816,74.43660544268161,41.85578528604923,19.56352366808057,0.0009075978909154347,0.007839064085717329,0.0440195945266153,134.50629121475794,0.7743932018639719,147.64658352113236,0.8500458196014933,149.97608431503278,0.8634574567988416,161.15881181950138,0.8346195265165246,0.005331385957748105,0.08723220738913894,-0.3104491443521316,-0.6760164546431718,0.3473530423874118,17254.19921875,17436.5,1,1,0.006623819753299653,0.003871784907235488,17254.19921875,17436.5,1,1,0.006623819753299653,0.003871784907235488,17254.19921875,17436.5,1,1,0.006623819753299653,0.003871784907235488,15772.871841797883,16607.976927523363,0.09190829530360359,-0.04382878204163317,0.06482779751727885,0.04648534920065206,0.06482779751727885,0.04648534920065206
NIFTY_50,^NSEI,2021-09-13,17363.55078125,17378.349609375,17269.150390625,17355.30078125,241100,17209.78076361082,0.008455657840039156,16935.961186665103,0.024760306779344366,16456.378358353544,0.05462455974951178,15392.516628948539,0.12751548038675328,1,1,1,97,0,89,0,0.016167938384348324,0.02914267148385746,0.06911551600368014,0.002470819513638567,0.0020838258424872415,0.0011353870238622887,82.82275304939448,80.6721982539418,73.93792616851862,42.34512993660413,20.172424373022825,-0.000803098507419775,0.00182994138572945,0.03891612150128232,129.44487672180634,0.74585210797184,144.90034318033722,0.8349053986830467,148.03432881193595,0.8529631994155155,160.11961995811134,0.8084260801747483,0.005167863268402948,0.08588601287559693,-0.02720378642605344,-0.6399768273660292,0.3370179332484184,17254.19921875,17436.5,1,1,0.005825399615616357,0.004678640824117812,17254.19921875,17436.5,1,1,0.005825399615616357,0.004678640824117812,17254.19921875,17436.5,1,1,0.005825399615616357,0.004678640824117812,15795.753976254487,16687.394396741398,0.08985996985315213,-0.03848428747660671,0.06182877400597153,0.0495574524382576,0.06182877400597153,0.0495574524382576
NIFTY_50,^NSEI,2021-09-14,17420.349609375,17438.55078125,17367.05078125,17380.0,230400,17240.729715681577,0.008077980840436694,16976.32835151373,0.023778501459667853,16492.5988148887,0.053806025058355106,15412.29258288935,0.12767129916124156,1,1,1,98,0,90,0,0.015574708422994818,0.02933009782474925,0.07009380507081095,0.002368573154835252,0.0021038993483110113,0.0011510916875823063,83.97540596164816,81.19737677054633,74.25463589131238,43.02469347354894,20.824144217662003,0.001423151293159064,0.00012655334110944771,0.02651632344326682,120.20590137744509,0.691633494691859,140.49674723888458,0.8083817447576789,144.94936077327233,0.8340009250475968,158.5822275589491,0.7580036125596826,0.00515397666167017,0.08614389476976352,-1.4390474678358343,-0.7543607926821454,0.2666618019901659,17254.19921875,17436.5,1,1,0.007238249784234752,0.003250863060989643,17254.19921875,17436.5,1,1,0.007238249784234752,0.003250863060989643,17254.19921875,17436.5,1,1,0.007238249784234752,0.003250863060989643,15816.543868307575,16763.12638208846,0.08995719975215331,-0.03549330367730382,0.05883499680734472,0.05244571287879074,0.05883499680734472,0.05244571287879074
NIFTY_50,^NSEI,2021-09-20,17443.849609375,17622.75,17361.80078125,17396.900390625,339100,17395.43473916736,8.425494847459914e-05,17151.047682976943,0.014334559158859714,16646.097202972353,0.04510385698808625,15495.417247374704,0.12271261321294546,1,1,1,102,0,94,0,0.014249103652891032,0.030334466622868567,0.07425937212452936,0.002305718068550666,0.0022371053421197606,0.0012291938814198544,56.52023026926077,67.93415370255839,69.15453116104172,46.37352214559969,23.750913096185066,-0.010705054879733056,0.002396939695792799,0.004231267340670364,175.08164345420153,1.0063956194665062,157.02190951725277,0.9025855525497528,155.33003806993906,0.8928604210072084,161.94518521349914,1.0811166952779983,0.005723409737479752,0.08317728808312819,-0.46774600599532057,0.41682007850847796,0.22178882831223995,17254.19921875,17436.5,1,1,0.008202677986930368,0.002276245106073022,17254.19921875,17436.5,1,1,0.008202677986930368,0.002276245106073022,17254.19921875,17436.5,1,1,0.008202677986930368,0.002276245106073022,15835.241517957156,16840.678053895455,0.0897665007905319,-0.03197249649306993,0.055600719600646054,0.05549663181122377,0.055600719600646054,0.05549663181122377
NIFTY_50,^NSEI,2021-09-21,17450.5,17578.349609375,17326.099609375,17562.0,363600,17425.71933204602,0.00782066239890355,17188.406984524492,0.021735173935075583,16682.014959718537,0.052750524586288344,15515.980259838638,0.13186532245450538,1,1,1,103,0,95,0,0.013806535284810979,0.030355567119962516,0.075150566084313,0.0022969835979862905,0.0022773482730570117,0.0012508860377793529,67.17222936459567,72.35521544153383,71.36707785390746,45.759232489697204,24.138400018475973,0.00949017386246398,0.010471806674338335,0.010599685257569824,190.51531476336123,1.0848155948261087,163.82391598030614,0.9328317730344273,159.9452743523229,0.9107463520801896,163.75128150922916,1.1634431987796299,0.005977584197139059,0.0771029789178683,-0.7130412593252974,0.6302593879700641,0.26934807927991716,17254.19921875,17792.94921875,1,1,0.017526522107390956,0.013150507843639676,17254.19921875,17792.94921875,1,1,0.017526522107390956,0.013150507843639676,17254.19921875,17792.94921875,1,1,0.017526522107390956,0.013150507843639676,15851.846925203214,16926.2471858199,0.0973780363738063,-0.036200479112863074,0.05205553905562588,0.05909768412992866,0.05205553905562588,0.05909768412992866
NIFTY_50,^NSEI,2021-09-22,17580.900390625,17610.44921875,17524.0,17546.650390625,295200,17447.706797242197,0.005670865204958727,17220.974566897265,0.018911579159623198,16715.92223151879,0.049696818853334074,15536.185932781786,0.12940527788104533,1,1,1,104,0,96,0,0.013166051053856445,0.030213848113397525,0.07593474381944211,0.002214434656353248,0.0022975738938430636,0.0012675049805665139,65.43346053414706,71.36999032117893,70.87690263826381,45.31715072403657,24.54558940593225,-0.0008740239935656202,0.001552627113750038,0.010629519781717445,169.70209556068897,0.9671480982567424,158.29715189242714,0.902150258701249,156.44546218078372,0.8915973060269724,162.20524025404458,1.0462183299066226,0.005784918231895823,0.07174242411778961,-1.0890230177904703,-0.1198026750654574,0.21390456773573807,17326.099609375,17792.94921875,2,1,0.012569395089095641,0.01403680033749319,17326.099609375,17792.94921875,2,1,0.012569395089095641,0.01403680033749319,17326.099609375,17792.94921875,2,1,0.012569395089095641,0.01403680033749319,15866.360090045775,17007.85564126104,0.09576131416381256,-0.030706416174555527,0.048533927931465826,0.062498446948614506,0.048533927931465826,0.062498446948614506
NIFTY_50,^NSEI,2021-09-27,17932.19921875,17943.5,17802.900390625,17855.099609375,295700,17627.771284303763,0.01289603327640498,17376.099515829555,0.027566606251827542,16843.520626513735,0.0600574550470712,15604.388460836326,0.14423578047851585,1,1,1,107,0,99,0,0.014483789543501125,0.03161921436290921,0.07940921035049629,0.002372008539108261,0.0024450367561647313,0.0013416408829421077,78.6379018474648,77.9290987040366,74.53645986130553,46.792436146292786,26.472520882853217,0.00010644538279747096,0.026337980241406544,0.02879805048754691,173.57539480207282,0.972133444223046,163.59807439692509,0.9162540561298593,160.49380468422896,0.8988681564115166,163.70154467268475,1.0603161695824586,0.005854452652824731,0.05658108492910073,-0.9370834213088974,-0.25365038066812584,0.2132829194877433,17326.099609375,17947.650390625,2,2,0.029627390021517618,0.005183436848563157,17326.099609375,17947.650390625,2,2,0.029627390021517618,0.005183436848563157,17326.099609375,17947.650390625,2,2,0.029627390021517618,0.005183436848563157,15878.781012484807,17085.503420218898,0.11068650638344837,-0.04310231844083456,0.045034274263968666,0.06570044810860964,0.045034274263968666,0.06570044810860964
NIFTY_50,^NSEI,2021-09-28,17906.44921875,17912.849609375,17576.099609375,17748.599609375,398000,17649.74007068035,0.005601189496205429,17409.963160697323,0.019450727468633716,16879.013919959274,0.051518749468382696,15625.723895150144,0.13585775151727508,1,1,1,108,0,100,0,0.013772396171654041,0.031456176483758154,0.08020684566160302,0.0023618125354332165,0.002443770545820767,0.0013535193090908337,65.22574628328557,70.97616989873822,71.10963091011462,45.368903870541686,26.606555126530058,-0.0059646824901542495,0.010625191286584679,0.021208262909953923,206.21031584165826,1.1618399219098714,175.966069082859,0.991436355293698,168.8869568421228,0.9515508860367492,167.16251377923106,1.2335918572868378,0.00628998868587552,0.051698716074466244,1.4394738850789006,0.8211524575717356,0.1768508878930536,17326.099609375,17792.94921875,2,2,0.023804694978686147,0.0024987666830668747,17326.099609375,17792.94921875,2,2,0.023804694978686147,0.0024987666830668747,17326.099609375,17792.94921875,2,2,0.023804694978686147,0.0024987666830668747,15889.109692520326,17179.55560205854,0.1047682610335337,-0.032061346801461776,0.04183728939657594,0.06997351339776547,0.04183728939657594,0.06997351339776547
