from_regime,STRONG_RISK_OFF,RISK_OFF,NEUTRAL,RISK_ON,STRONG_RISK_ON
STRONG_RISK_OFF,0.8448540706605222,0.15360983102918585,0.0007680491551459292,0.0003840245775729646,0.0003840245775729646
RISK_OFF,0.07689350249903883,0.7747020376778162,0.14801999231064975,0.00019223375624759708,0.00019223375624759708
NEUTRAL,0.0001926040061633282,0.07511556240369799,0.8513097072419106,0.0731895223420647,0.0001926040061633282
RISK_ON,0.00019223375624759708,0.00019223375624759708,0.1499423298731257,0.7612456747404843,0.08842752787389464
STRONG_RISK_ON,0.0003810975609756098,0.0003810975609756098,0.0007621951219512196,0.1829268292682927,0.815548780487805
