horizon,fold,rows_train,rows_test,accuracy,balanced_accuracy,macro_f1,status
5,1,429,427,0.4028103044496487,0.3464595141700405,0.27076609286585535,ok
5,2,856,427,0.41920374707259955,0.34850251076040173,0.31250939983334347,ok
5,3,1283,427,0.47540983606557374,0.479254405864214,0.47136725433769416,ok
5,4,1710,427,0.4238875878220141,0.23853416238709757,0.2275992643081251,ok
5,5,2137,427,0.4309133489461358,0.3119750798064051,0.2896796594883059,ok
10,1,429,427,0.3629976580796253,0.29638878665051943,0.25056489426237327,ok
10,2,856,427,0.40749414519906324,0.3163265306122449,0.273680699835976,ok
10,3,1283,427,0.34660421545667447,0.3888884359820544,0.35554880590378,ok
10,4,1710,427,0.4496487119437939,0.3114782393437445,0.23817156755077223,ok
10,5,2137,427,0.36768149882903983,0.24016417982519678,0.19533183489844314,ok
