regime_label,state_persistence_probability,probability_of_regime_change
STRONG_RISK_OFF,0.8448540706605222,0.1551459293394778
RISK_OFF,0.7747020376778162,0.2252979623221838
NEUTRAL,0.8513097072419106,0.14869029275808943
RISK_ON,0.7612456747404843,0.23875432525951568
STRONG_RISK_ON,0.815548780487805,0.184451219512195
