index,symbol,average,category
NIFTY SMLCAP 100,KARURVYSYA,2.58,Broad Market
NIFTY SMLCAP 100,SONACOMS,2.51,Broad Market
NIFTY SMLCAP 100,DELHIVERY,2.42,Broad Market
NIFTY SMLCAP 100,NAVINFLUOR,2.26,Broad Market
NIFTY SMLCAP 100,PIRAMALFIN,2.25,Broad Market
NIFTY SMLCAP 100,CDSL,2.19,Broad Market
NIFTY SMLCAP 100,ANGELONE,1.92,Broad Market
NIFTY SMLCAP 100,CUB,1.85,Broad Market
NIFTY SMLCAP 100,PNBHOUSING,1.83,Broad Market
NIFTY SMLCAP 100,RBLBANK,1.8,Broad Market
NIFTY SMLCAP 100,CAMS,1.71,Broad Market
NIFTY SMLCAP 100,HINDCOPPER,1.7,Broad Market
NIFTY SMLCAP 100,AMBER,1.67,Broad Market
NIFTY SMLCAP 100,ASTERDM,1.66,Broad Market
NIFTY SMLCAP 100,ATHERENERG,1.65,Broad Market
NIFTY SMLCAP 100,CROMPTON,1.6,Broad Market
NIFTY SMLCAP 100,WELCORP,1.5,Broad Market
NIFTY SMLCAP 100,MANAPPURAM,1.49,Broad Market
NIFTY SMLCAP 100,BANDHANBNK,1.47,Broad Market
NIFTY SMLCAP 100,CHOLAHLDNG,1.43,Broad Market
NIFTY SMLCAP 100,ANANDRATHI,1.42,Broad Market
NIFTY SMLCAP 100,GESHIP,1.36,Broad Market
NIFTY SMLCAP 100,SAILIFE,1.33,Broad Market
NIFTY SMLCAP 100,GLAND,1.3,Broad Market
NIFTY SMLCAP 100,HSCL,1.24,Broad Market
NIFTY SMLCAP 100,KAYNES,1.2,Broad Market
NIFTY SMLCAP 100,POONAWALLA,1.2,Broad Market
NIFTY SMLCAP 100,KFINTECH,1.19,Broad Market
NIFTY SMLCAP 100,REDINGTON,1.19,Broad Market
NIFTY SMLCAP 100,NEULANDLAB,1.16,Broad Market
NIFTY SMLCAP 100,TATACHEM,1.16,Broad Market
NIFTY SMLCAP 100,NH,1.13,Broad Market
NIFTY SMLCAP 100,RAMCOCEM,1.13,Broad Market
NIFTY SMLCAP 100,CESC,1.12,Broad Market
NIFTY SMLCAP 100,DATAPATTNS,1.12,Broad Market
NIFTY SMLCAP 100,STARHEALTH,1.12,Broad Market
NIFTY SMLCAP 100,WOCKPHARMA,1.09,Broad Market
NIFTY SMLCAP 100,IGL,1.08,Broad Market
NIFTY SMLCAP 100,BRIGADE,1.03,Broad Market
NIFTY SMLCAP 100,ARE&M,1.02,Broad Market
NIFTY SMLCAP 100,LALPATHLAB,1.02,Broad Market
NIFTY SMLCAP 100,NUVAMA,0.99,Broad Market
NIFTY SMLCAP 100,AARTIIND,0.96,Broad Market
NIFTY SMLCAP 100,IIFL,0.95,Broad Market
NIFTY SMLCAP 100,PPLPHARMA,0.95,Broad Market
NIFTY SMLCAP 100,FORCEMOT,0.93,Broad Market
NIFTY SMLCAP 100,INOXWIND,0.93,Broad Market
NIFTY SMLCAP 100,NATCOPHARM,0.91,Broad Market
NIFTY SMLCAP 100,NBCC,0.91,Broad Market
NIFTY SMLCAP 100,TATATECH,0.91,Broad Market
NIFTY SMLCAP 100,FIVESTAR,0.9,Broad Market
NIFTY SMLCAP 100,SAGILITY,0.89,Broad Market
NIFTY SMLCAP 100,APTUS,0.85,Broad Market
NIFTY SMLCAP 100,AFFLE,0.84,Broad Market
NIFTY SMLCAP 100,HBLENGINE,0.84,Broad Market
NIFTY SMLCAP 100,PGEL,0.84,Broad Market
NIFTY SMLCAP 100,AEGISLOG,0.83,Broad Market
NIFTY SMLCAP 100,CASTROLIND,0.82,Broad Market
NIFTY SMLCAP 100,RPOWER,0.79,Broad Market
NIFTY SMLCAP 100,GRSE,0.78,Broad Market
NIFTY SMLCAP 100,SYNGENE,0.78,Broad Market
NIFTY SMLCAP 100,DEEPAKFERT,0.76,Broad Market
NIFTY SMLCAP 100,COHANCE,0.74,Broad Market
NIFTY SMLCAP 100,ABREL,0.73,Broad Market
NIFTY SMLCAP 100,WHIRLPOOL,0.71,Broad Market
NIFTY SMLCAP 100,ANANTRAJ,0.7,Broad Market
NIFTY SMLCAP 100,GPIL,0.7,Broad Market
NIFTY SMLCAP 100,IKS,0.7,Broad Market
NIFTY SMLCAP 100,KEC,0.69,Broad Market
NIFTY SMLCAP 100,OLAELEC,0.67,Broad Market
NIFTY SMLCAP 100,CGCL,0.66,Broad Market
NIFTY SMLCAP 100,BEML,0.65,Broad Market
NIFTY SMLCAP 100,CREDITACC,0.63,Broad Market
NIFTY SMLCAP 100,FSL,0.63,Broad Market
NIFTY SMLCAP 100,CHAMBLFERT,0.62,Broad Market
NIFTY SMLCAP 100,NETWEB,0.62,Broad Market
NIFTY SMLCAP 100,TRITURBINE,0.62,Broad Market
NIFTY SMLCAP 100,JYOTICNC,0.6,Broad Market
NIFTY SMLCAP 100,ZENSARTECH,0.56,Broad Market
NIFTY SMLCAP 100,GMDCLTD,0.55,Broad Market
NIFTY SMLCAP 100,SARDAEN,0.51,Broad Market
NIFTY SMLCAP 100,FIRSTCRY,0.5,Broad Market
NIFTY SMLCAP 100,JMFINANCIL,0.49,Broad Market
NIFTY SMLCAP 100,AFCONS,0.48,Broad Market
NIFTY SMLCAP 100,IRCON,0.47,Broad Market
NIFTY SMLCAP 100,MEESHO,0.47,Broad Market
NIFTY SMLCAP 100,PWL,0.46,Broad Market
NIFTY SMLCAP 100,SWANCORP,0.44,Broad Market
NIFTY SMLCAP 100,DEVYANI,0.42,Broad Market
NIFTY SMLCAP 100,TENNIND,0.41,Broad Market
NIFTY SMLCAP 100,IDBI,0.4,Broad Market
NIFTY SMLCAP 100,IFCI,0.37,Broad Market
NIFTY SMLCAP 100,PINELABS,0.34,Broad Market
NIFTY SMLCAP 100,BLS,0.32,Broad Market
NIFTY SMLCAP 100,SIGNATURE,0.31,Broad Market
NIFTY SMLCAP 100,JSWCEMENT,0.29,Broad Market
NIFTY SMLCAP 100,MRPL,0.29,Broad Market
NIFTY SMLCAP 100,URBANCO,0.28,Broad Market
NIFTY SMLCAP 100,ITI,0.27,Broad Market
NIFTY SMLCAP 100,JBMA,0.24,Broad Market
NIFTY SMLCAP 250,KARURVYSYA,1.39,Broad Market
NIFTY SMLCAP 250,SONACOMS,1.36,Broad Market
NIFTY SMLCAP 250,DELHIVERY,1.31,Broad Market
NIFTY SMLCAP 250,NAVINFLUOR,1.22,Broad Market
NIFTY SMLCAP 250,PIRAMALFIN,1.21,Broad Market
NIFTY SMLCAP 250,CDSL,1.18,Broad Market
NIFTY SMLCAP 250,ANGELONE,1.04,Broad Market
NIFTY SMLCAP 250,CUB,1.0,Broad Market
NIFTY SMLCAP 250,PNBHOUSING,0.99,Broad Market
NIFTY SMLCAP 250,RBLBANK,0.97,Broad Market
NIFTY SMLCAP 250,CAMS,0.92,Broad Market
NIFTY SMLCAP 250,HINDCOPPER,0.92,Broad Market
NIFTY SMLCAP 250,AMBER,0.9,Broad Market
NIFTY SMLCAP 250,ASTERDM,0.9,Broad Market
NIFTY SMLCAP 250,ATHERENERG,0.89,Broad Market
NIFTY SMLCAP 250,CROMPTON,0.87,Broad Market
NIFTY SMLCAP 250,JBCHEPHARM,0.84,Broad Market
NIFTY SMLCAP 250,KIMS,0.82,Broad Market
NIFTY SMLCAP 250,MANAPPURAM,0.81,Broad Market
NIFTY SMLCAP 250,WELCORP,0.81,Broad Market
NIFTY SMLCAP 250,BANDHANBNK,0.79,Broad Market
NIFTY SMLCAP 250,ANANDRATHI,0.77,Broad Market
NIFTY SMLCAP 250,CHOLAHLDNG,0.77,Broad Market
NIFTY SMLCAP 250,SAMMAANCAP,0.77,Broad Market
NIFTY SMLCAP 250,GESHIP,0.73,Broad Market
NIFTY SMLCAP 250,KIRLOSENG,0.72,Broad Market
NIFTY SMLCAP 250,SAILIFE,0.72,Broad Market
NIFTY SMLCAP 250,KPIL,0.71,Broad Market
NIFTY SMLCAP 250,GLAND,0.7,Broad Market
NIFTY SMLCAP 250,HSCL,0.67,Broad Market
NIFTY SMLCAP 250,KAYNES,0.65,Broad Market
NIFTY SMLCAP 250,POONAWALLA,0.65,Broad Market
NIFTY SMLCAP 250,ACUTAAS,0.64,Broad Market
NIFTY SMLCAP 250,KFINTECH,0.64,Broad Market
NIFTY SMLCAP 250,REDINGTON,0.64,Broad Market
NIFTY SMLCAP 250,TIMKEN,0.64,Broad Market
NIFTY SMLCAP 250,TATACHEM,0.63,Broad Market
NIFTY SMLCAP 250,NEULANDLAB,0.62,Broad Market
NIFTY SMLCAP 250,NH,0.61,Broad Market
NIFTY SMLCAP 250,RAMCOCEM,0.61,Broad Market
NIFTY SMLCAP 250,STARHEALTH,0.61,Broad Market
NIFTY SMLCAP 250,CESC,0.6,Broad Market
NIFTY SMLCAP 250,DATAPATTNS,0.6,Broad Market
NIFTY SMLCAP 250,ELGIEQUIP,0.59,Broad Market
NIFTY SMLCAP 250,IGL,0.59,Broad Market
NIFTY SMLCAP 250,WOCKPHARMA,0.59,Broad Market
NIFTY SMLCAP 250,DEEPAKNTR,0.58,Broad Market
NIFTY SMLCAP 250,BRIGADE,0.56,Broad Market
NIFTY SMLCAP 250,CARBORUNIV,0.56,Broad Market
NIFTY SMLCAP 250,ZFCVINDIA,0.56,Broad Market
NIFTY SMLCAP 250,ARE&M,0.55,Broad Market
NIFTY SMLCAP 250,ATUL,0.55,Broad Market
NIFTY SMLCAP 250,HFCL,0.55,Broad Market
NIFTY SMLCAP 250,LALPATHLAB,0.55,Broad Market
NIFTY SMLCAP 250,ASAHIINDIA,0.53,Broad Market
NIFTY SMLCAP 250,NUVAMA,0.53,Broad Market
NIFTY SMLCAP 250,AARTIIND,0.52,Broad Market
NIFTY SMLCAP 250,GRANULES,0.51,Broad Market
NIFTY SMLCAP 250,HOMEFIRST,0.51,Broad Market
NIFTY SMLCAP 250,IIFL,0.51,Broad Market
NIFTY SMLCAP 250,PPLPHARMA,0.51,Broad Market
NIFTY SMLCAP 250,FORCEMOT,0.5,Broad Market
NIFTY SMLCAP 250,IEX,0.5,Broad Market
NIFTY SMLCAP 250,INOXWIND,0.5,Broad Market
NIFTY SMLCAP 250,KAJARIACER,0.5,Broad Market
NIFTY SMLCAP 250,MSUMI,0.5,Broad Market
NIFTY SMLCAP 250,FIVESTAR,0.49,Broad Market
NIFTY SMLCAP 250,JPPOWER,0.49,Broad Market
NIFTY SMLCAP 250,NATCOPHARM,0.49,Broad Market
NIFTY SMLCAP 250,NBCC,0.49,Broad Market
NIFTY SMLCAP 250,ONESOURCE,0.49,Broad Market
NIFTY SMLCAP 250,TATATECH,0.49,Broad Market
NIFTY SMLCAP 250,PTCIL,0.48,Broad Market
NIFTY SMLCAP 250,SAGILITY,0.48,Broad Market
NIFTY SMLCAP 250,CRAFTSMAN,0.47,Broad Market
NIFTY SMLCAP 250,NAVA,0.47,Broad Market
NIFTY SMLCAP 250,APTUS,0.46,Broad Market
NIFTY SMLCAP 250,PGEL,0.46,Broad Market
NIFTY SMLCAP 250,AEGISLOG,0.45,Broad Market
NIFTY SMLCAP 250,AFFLE,0.45,Broad Market
NIFTY SMLCAP 250,CASTROLIND,0.45,Broad Market
NIFTY SMLCAP 250,EMAMILTD,0.45,Broad Market
NIFTY SMLCAP 250,HBLENGINE,0.45,Broad Market
NIFTY SMLCAP 250,EIDPARRY,0.43,Broad Market
NIFTY SMLCAP 250,IRB,0.43,Broad Market
NIFTY SMLCAP 250,RPOWER,0.43,Broad Market
NIFTY SMLCAP 250,ZEEL,0.43,Broad Market
NIFTY SMLCAP 250,GRSE,0.42,Broad Market
NIFTY SMLCAP 250,SYNGENE,0.42,Broad Market
NIFTY SMLCAP 250,USHAMART,0.42,Broad Market
NIFTY SMLCAP 250,DEEPAKFERT,0.41,Broad Market
NIFTY SMLCAP 250,ABREL,0.4,Broad Market
NIFTY SMLCAP 250,COHANCE,0.4,Broad Market
NIFTY SMLCAP 250,GSPL,0.4,Broad Market
NIFTY SMLCAP 250,ABSLAMC,0.39,Broad Market
NIFTY SMLCAP 250,CCL,0.39,Broad Market
NIFTY SMLCAP 250,ZENTEC,0.39,Broad Market
NIFTY SMLCAP 250,ANANTRAJ,0.38,Broad Market
NIFTY SMLCAP 250,FINCABLES,0.38,Broad Market
NIFTY SMLCAP 250,GODIGIT,0.38,Broad Market
NIFTY SMLCAP 250,GPIL,0.38,Broad Market
NIFTY SMLCAP 250,IKS,0.38,Broad Market
NIFTY SMLCAP 250,JUBLPHARMA,0.38,Broad Market
NIFTY SMLCAP 250,PVRINOX,0.38,Broad Market
NIFTY SMLCAP 250,WHIRLPOOL,0.38,Broad Market
NIFTY SMLCAP 250,CANFINHOME,0.37,Broad Market
NIFTY SMLCAP 250,CEATLTD,0.37,Broad Market
NIFTY SMLCAP 250,ERIS,0.37,Broad Market
NIFTY SMLCAP 250,KEC,0.37,Broad Market
NIFTY SMLCAP 250,SYRMA,0.37,Broad Market
NIFTY SMLCAP 250,CGCL,0.36,Broad Market
NIFTY SMLCAP 250,CYIENT,0.36,Broad Market
NIFTY SMLCAP 250,OLAELEC,0.36,Broad Market
NIFTY SMLCAP 250,PFIZER,0.36,Broad Market
NIFTY SMLCAP 250,BEML,0.35,Broad Market
NIFTY SMLCAP 250,CARTRADE,0.35,Broad Market
NIFTY SMLCAP 250,ENGINERSIN,0.35,Broad Market
NIFTY SMLCAP 250,CHAMBLFERT,0.34,Broad Market
NIFTY SMLCAP 250,CREDITACC,0.34,Broad Market
NIFTY SMLCAP 250,FSL,0.34,Broad Market
NIFTY SMLCAP 250,GILLETTE,0.34,Broad Market
NIFTY SMLCAP 250,NCC,0.34,Broad Market
NIFTY SMLCAP 250,SCHNEIDER,0.34,Broad Market
NIFTY SMLCAP 250,TRITURBINE,0.34,Broad Market
NIFTY SMLCAP 250,BAYERCROP,0.33,Broad Market
NIFTY SMLCAP 250,INTELLECT,0.33,Broad Market
NIFTY SMLCAP 250,JYOTICNC,0.33,Broad Market
NIFTY SMLCAP 250,NETWEB,0.33,Broad Market
NIFTY SMLCAP 250,BELRISE,0.32,Broad Market
NIFTY SMLCAP 250,EIHOTEL,0.32,Broad Market
NIFTY SMLCAP 250,GABRIEL,0.32,Broad Market
NIFTY SMLCAP 250,INDIAMART,0.32,Broad Market
NIFTY SMLCAP 250,MGL,0.32,Broad Market
NIFTY SMLCAP 250,SOBHA,0.32,Broad Market
NIFTY SMLCAP 250,TECHNOE,0.32,Broad Market
NIFTY SMLCAP 250,TITAGARH,0.32,Broad Market
NIFTY SMLCAP 250,BSOFT,0.31,Broad Market
NIFTY SMLCAP 250,RAINBOW,0.31,Broad Market
NIFTY SMLCAP 250,RKFORGE,0.31,Broad Market
NIFTY SMLCAP 250,SHYAMMETL,0.31,Broad Market
NIFTY SMLCAP 250,VTL,0.31,Broad Market
NIFTY SMLCAP 250,ECLERX,0.3,Broad Market
NIFTY SMLCAP 250,GMDCLTD,0.3,Broad Market
NIFTY SMLCAP 250,JUBLINGREA,0.3,Broad Market
NIFTY SMLCAP 250,LEMONTREE,0.3,Broad Market
NIFTY SMLCAP 250,ZENSARTECH,0.3,Broad Market
NIFTY SMLCAP 250,BALRAMCHIN,0.29,Broad Market
NIFTY SMLCAP 250,J&KBANK,0.29,Broad Market
NIFTY SMLCAP 250,LTFOODS,0.29,Broad Market
NIFTY SMLCAP 250,PARADEEP,0.29,Broad Market
NIFTY SMLCAP 250,POLYMED,0.29,Broad Market
NIFTY SMLCAP 250,SUNTV,0.29,Broad Market
NIFTY SMLCAP 250,ABLBL,0.28,Broad Market
NIFTY SMLCAP 250,CHALET,0.28,Broad Market
NIFTY SMLCAP 250,EMCURE,0.28,Broad Market
NIFTY SMLCAP 250,FACT,0.28,Broad Market
NIFTY SMLCAP 250,HEG,0.28,Broad Market
NIFTY SMLCAP 250,JINDALSAW,0.28,Broad Market
NIFTY SMLCAP 250,SARDAEN,0.28,Broad Market
NIFTY SMLCAP 250,AADHARHFC,0.27,Broad Market
NIFTY SMLCAP 250,AAVAS,0.27,Broad Market
NIFTY SMLCAP 250,CHOICEIN,0.27,Broad Market
NIFTY SMLCAP 250,FIRSTCRY,0.27,Broad Market
NIFTY SMLCAP 250,JMFINANCIL,0.27,Broad Market
NIFTY SMLCAP 250,SUMICHEM,0.27,Broad Market
NIFTY SMLCAP 250,VIJAYA,0.27,Broad Market
NIFTY SMLCAP 250,AFCONS,0.26,Broad Market
NIFTY SMLCAP 250,CHENNPETRO,0.26,Broad Market
NIFTY SMLCAP 250,GRAVITA,0.26,Broad Market
NIFTY SMLCAP 250,INDGN,0.26,Broad Market
NIFTY SMLCAP 250,IOB,0.26,Broad Market
NIFTY SMLCAP 250,JSWDULUX,0.26,Broad Market
NIFTY SMLCAP 250,MEESHO,0.26,Broad Market
NIFTY SMLCAP 250,OLECTRA,0.26,Broad Market
NIFTY SMLCAP 250,PCBL,0.26,Broad Market
NIFTY SMLCAP 250,RRKABEL,0.26,Broad Market
NIFTY SMLCAP 250,SCI,0.26,Broad Market
NIFTY SMLCAP 250,GRAPHITE,0.25,Broad Market
NIFTY SMLCAP 250,IRCON,0.25,Broad Market
NIFTY SMLCAP 250,JKTYRE,0.25,Broad Market
NIFTY SMLCAP 250,PWL,0.25,Broad Market
NIFTY SMLCAP 250,SONATSOFTW,0.25,Broad Market
NIFTY SMLCAP 250,HONASA,0.24,Broad Market
NIFTY SMLCAP 250,NIVABUPA,0.24,Broad Market
NIFTY SMLCAP 250,NSLNISP,0.24,Broad Market
NIFTY SMLCAP 250,SPLPETRO,0.24,Broad Market
NIFTY SMLCAP 250,SWANCORP,0.24,Broad Market
NIFTY SMLCAP 250,ZYDUSWELL,0.24,Broad Market
NIFTY SMLCAP 250,BATAINDIA,0.23,Broad Market
NIFTY SMLCAP 250,CPPLUS,0.23,Broad Market
NIFTY SMLCAP 250,DCMSHRIRAM,0.23,Broad Market
NIFTY SMLCAP 250,DEVYANI,0.23,Broad Market
NIFTY SMLCAP 250,BIKAJI,0.22,Broad Market
NIFTY SMLCAP 250,IDBI,0.22,Broad Market
NIFTY SMLCAP 250,TENNIND,0.22,Broad Market
NIFTY SMLCAP 250,DOMS,0.21,Broad Market
NIFTY SMLCAP 250,ELECON,0.21,Broad Market
NIFTY SMLCAP 250,MINDACORP,0.21,Broad Market
NIFTY SMLCAP 250,SAPPHIRE,0.21,Broad Market
NIFTY SMLCAP 250,TBOTEK,0.21,Broad Market
NIFTY SMLCAP 250,WELSPUNLIV,0.21,Broad Market
NIFTY SMLCAP 250,IFCI,0.2,Broad Market
NIFTY SMLCAP 250,JWL,0.2,Broad Market
NIFTY SMLCAP 250,SBFC,0.2,Broad Market
NIFTY SMLCAP 250,UTIAMC,0.2,Broad Market
NIFTY SMLCAP 250,ACE,0.19,Broad Market
NIFTY SMLCAP 250,CEMPRO,0.19,Broad Market
NIFTY SMLCAP 250,CLEAN,0.19,Broad Market
NIFTY SMLCAP 250,ANURAS,0.18,Broad Market
NIFTY SMLCAP 250,CENTRALBK,0.18,Broad Market
NIFTY SMLCAP 250,CONCORDBIO,0.18,Broad Market
NIFTY SMLCAP 250,IGIL,0.18,Broad Market
NIFTY SMLCAP 250,PINELABS,0.18,Broad Market
NIFTY SMLCAP 250,TARIL,0.18,Broad Market
NIFTY SMLCAP 250,BLS,0.17,Broad Market
NIFTY SMLCAP 250,CAPLIPOINT,0.17,Broad Market
NIFTY SMLCAP 250,SIGNATURE,0.17,Broad Market
NIFTY SMLCAP 250,TEJASNET,0.17,Broad Market
NIFTY SMLCAP 250,THELEELA,0.17,Broad Market
NIFTY SMLCAP 250,BLUEDART,0.16,Broad Market
NIFTY SMLCAP 250,JSWCEMENT,0.16,Broad Market
NIFTY SMLCAP 250,TRIDENT,0.16,Broad Market
NIFTY SMLCAP 250,ABDL,0.15,Broad Market
NIFTY SMLCAP 250,ABFRL,0.15,Broad Market
NIFTY SMLCAP 250,ACMESOLAR,0.15,Broad Market
NIFTY SMLCAP 250,ITI,0.15,Broad Market
NIFTY SMLCAP 250,MRPL,0.15,Broad Market
NIFTY SMLCAP 250,NEWGEN,0.15,Broad Market
NIFTY SMLCAP 250,NUVOCO,0.15,Broad Market
NIFTY SMLCAP 250,RITES,0.15,Broad Market
NIFTY SMLCAP 250,UCOBANK,0.15,Broad Market
NIFTY SMLCAP 250,URBANCO,0.15,Broad Market
NIFTY SMLCAP 250,AEGISVOPAK,0.14,Broad Market
NIFTY SMLCAP 250,CANHLIFE,0.14,Broad Market
NIFTY SMLCAP 250,EMMVEE,0.14,Broad Market
NIFTY SMLCAP 250,INDIACEM,0.14,Broad Market
NIFTY SMLCAP 250,RAILTEL,0.14,Broad Market
NIFTY SMLCAP 250,TEGA,0.14,Broad Market
NIFTY SMLCAP 250,BBTC,0.13,Broad Market
NIFTY SMLCAP 250,GALLANTT,0.13,Broad Market
NIFTY SMLCAP 250,JBMA,0.13,Broad Market
NIFTY SMLCAP 250,SAREGAMA,0.13,Broad Market
NIFTY SMLCAP 250,JAINREC,0.12,Broad Market
NIFTY SMLCAP 250,RHIM,0.12,Broad Market
NIFTY SMLCAP 250,TRAVELFOOD,0.12,Broad Market
NIFTY SMLCAP 250,LATENTVIEW,0.11,Broad Market
NIFTY SMLCAP 250,TTML,0.11,Broad Market
NIFTY SMLCAP 250,BLUEJET,0.08,Broad Market
NIFTY SMLCAP 250,MAPMYINDIA,0.08,Broad Market
NIFTY SMLCAP 250,MMTC,0.05,Broad Market
NIFTY TOTAL MKT,HDFCBANK,5.8,Broad Market
NIFTY TOTAL MKT,RELIANCE,4.56,Broad Market
NIFTY TOTAL MKT,ICICIBANK,4.47,Broad Market
NIFTY TOTAL MKT,BHARTIARTL,2.75,Broad Market
NIFTY TOTAL MKT,LT,2.3,Broad Market
NIFTY TOTAL MKT,SBIN,2.2,Broad Market
NIFTY TOTAL MKT,TVSMOTOR,1.99,Broad Market
NIFTY TOTAL MKT,INFY,1.95,Broad Market
NIFTY TOTAL MKT,AXISBANK,1.79,Broad Market
NIFTY TOTAL MKT,ITC,1.42,Broad Market
NIFTY TOTAL MKT,KOTAKBANK,1.34,Broad Market
NIFTY TOTAL MKT,M&M,1.33,Broad Market
NIFTY TOTAL MKT,TCS,1.21,Broad Market
NIFTY TOTAL MKT,BAJFINANCE,1.19,Broad Market
NIFTY TOTAL MKT,HINDUNILVR,0.98,Broad Market
NIFTY TOTAL MKT,NTPC,0.93,Broad Market
NIFTY TOTAL MKT,ETERNAL,0.9,Broad Market
NIFTY TOTAL MKT,SUNPHARMA,0.9,Broad Market
NIFTY TOTAL MKT,TITAN,0.88,Broad Market
NIFTY TOTAL MKT,TATASTEEL,0.86,Broad Market
NIFTY TOTAL MKT,MARUTI,0.82,Broad Market
NIFTY TOTAL MKT,SHRIRAMFIN,0.81,Broad Market
NIFTY TOTAL MKT,BEL,0.76,Broad Market
NIFTY TOTAL MKT,HINDALCO,0.75,Broad Market
NIFTY TOTAL MKT,BSE,0.72,Broad Market
NIFTY TOTAL MKT,POWERGRID,0.7,Broad Market
NIFTY TOTAL MKT,ULTRACEMCO,0.68,Broad Market
NIFTY TOTAL MKT,HCLTECH,0.61,Broad Market
NIFTY TOTAL MKT,VEDL,0.61,Broad Market
NIFTY TOTAL MKT,ADANIPORTS,0.59,Broad Market
NIFTY TOTAL MKT,JSWSTEEL,0.58,Broad Market
NIFTY TOTAL MKT,ONGC,0.57,Broad Market
NIFTY TOTAL MKT,ASIANPAINT,0.54,Broad Market
NIFTY TOTAL MKT,BAJAJ-AUTO,0.51,Broad Market
NIFTY TOTAL MKT,COALINDIA,0.51,Broad Market
NIFTY TOTAL MKT,GRASIM,0.51,Broad Market
NIFTY TOTAL MKT,BAJAJFINSV,0.5,Broad Market
NIFTY TOTAL MKT,NESTLEIND,0.5,Broad Market
NIFTY TOTAL MKT,INDIGO,0.49,Broad Market
NIFTY TOTAL MKT,EICHERMOT,0.47,Broad Market
NIFTY TOTAL MKT,TRENT,0.46,Broad Market
NIFTY TOTAL MKT,ADANIPOWER,0.45,Broad Market
NIFTY TOTAL MKT,TECHM,0.43,Broad Market
NIFTY TOTAL MKT,TMCV,0.42,Broad Market
NIFTY TOTAL MKT,DIVISLAB,0.4,Broad Market
NIFTY TOTAL MKT,DRREDDY,0.4,Broad Market
NIFTY TOTAL MKT,HAL,0.4,Broad Market
NIFTY TOTAL MKT,JIOFIN,0.4,Broad Market
NIFTY TOTAL MKT,APOLLOHOSP,0.39,Broad Market
NIFTY TOTAL MKT,SBILIFE,0.39,Broad Market
NIFTY TOTAL MKT,TATAPOWER,0.37,Broad Market
NIFTY TOTAL MKT,CIPLA,0.36,Broad Market
NIFTY TOTAL MKT,MAXHEALTH,0.36,Broad Market
NIFTY TOTAL MKT,MCX,0.36,Broad Market
NIFTY TOTAL MKT,TATACONSUM,0.36,Broad Market
NIFTY TOTAL MKT,TMPV,0.36,Broad Market
NIFTY TOTAL MKT,FEDERALBNK,0.35,Broad Market
NIFTY TOTAL MKT,ADANIENT,0.34,Broad Market
NIFTY TOTAL MKT,CUMMINSIND,0.34,Broad Market
NIFTY TOTAL MKT,PFC,0.34,Broad Market
NIFTY TOTAL MKT,SUZLON,0.34,Broad Market
NIFTY TOTAL MKT,VBL,0.34,Broad Market
NIFTY TOTAL MKT,BRITANNIA,0.32,Broad Market
NIFTY TOTAL MKT,CHOLAFIN,0.32,Broad Market
NIFTY TOTAL MKT,DMART,0.32,Broad Market
NIFTY TOTAL MKT,HEROMOTOCO,0.32,Broad Market
NIFTY TOTAL MKT,HDFCLIFE,0.31,Broad Market
NIFTY TOTAL MKT,BPCL,0.3,Broad Market
NIFTY TOTAL MKT,AUBANK,0.28,Broad Market
NIFTY TOTAL MKT,CGPOWER,0.28,Broad Market
NIFTY TOTAL MKT,INDHOTEL,0.28,Broad Market
NIFTY TOTAL MKT,INDUSINDBK,0.28,Broad Market
NIFTY TOTAL MKT,POLICYBZR,0.28,Broad Market
NIFTY TOTAL MKT,WIPRO,0.28,Broad Market
NIFTY TOTAL MKT,GVT&D,0.27,Broad Market
NIFTY TOTAL MKT,HDFCAMC,0.27,Broad Market
NIFTY TOTAL MKT,LUPIN,0.27,Broad Market
NIFTY TOTAL MKT,MOTHERSON,0.27,Broad Market
NIFTY TOTAL MKT,INDUSTOWER,0.26,Broad Market
NIFTY TOTAL MKT,IOC,0.26,Broad Market
NIFTY TOTAL MKT,BHARATFORG,0.25,Broad Market
NIFTY TOTAL MKT,BHEL,0.25,Broad Market
NIFTY TOTAL MKT,PERSISTENT,0.25,Broad Market
NIFTY TOTAL MKT,ADANIENSOL,0.24,Broad Market
NIFTY TOTAL MKT,BANKBARODA,0.24,Broad Market
NIFTY TOTAL MKT,FORTIS,0.24,Broad Market
NIFTY TOTAL MKT,ASHOKLEY,0.23,Broad Market
NIFTY TOTAL MKT,DIXON,0.23,Broad Market
NIFTY TOTAL MKT,JINDALSTEL,0.23,Broad Market
NIFTY TOTAL MKT,PAYTM,0.23,Broad Market
NIFTY TOTAL MKT,RECLTD,0.23,Broad Market
NIFTY TOTAL MKT,BAJAJHLDNG,0.22,Broad Market
NIFTY TOTAL MKT,CANBK,0.22,Broad Market
NIFTY TOTAL MKT,GAIL,0.22,Broad Market
NIFTY TOTAL MKT,IDFCFIRSTB,0.22,Broad Market
NIFTY TOTAL MKT,GODREJCP,0.21,Broad Market
NIFTY TOTAL MKT,ICICIGI,0.21,Broad Market
NIFTY TOTAL MKT,LAURUSLABS,0.21,Broad Market
NIFTY TOTAL MKT,MFSL,0.21,Broad Market
NIFTY TOTAL MKT,PIDILITIND,0.21,Broad Market
NIFTY TOTAL MKT,POLYCAB,0.21,Broad Market
NIFTY TOTAL MKT,TORNTPHARM,0.21,Broad Market
