date,index_symbol,open,high,low,close,volume,turnover
20240102,CUSTOM_DATA_CENTRE,1000.0,1000.0,1000.0,1000.0,37040851,8231305435.55
20240103,CUSTOM_DATA_CENTRE,1002.9234587665962,1017.8203384851998,989.1100339172264,1004.471059120476,47606750,10555863689.35
20240104,CUSTOM_DATA_CENTRE,1010.2219991611271,1030.7253518276757,997.9745220211475,1017.2593164928658,127965126,17762136472.8
20240105,CUSTOM_DATA_CENTRE,1025.0516649255242,1043.1401366728135,1005.9054694372694,1022.65931304593,51205657,10688627648.0
20240108,CUSTOM_DATA_CENTRE,1030.9630935544208,1041.4570409253458,1008.6957247873069,1022.3235057423882,38600615,8079552495.95
20240109,CUSTOM_DATA_CENTRE,1030.9565518064376,1048.0004312302492,1013.8386562824878,1030.650680441521,32071333,12333904453.15
20240110,CUSTOM_DATA_CENTRE,1036.2387735639945,1054.758076442512,1021.1810741568768,1041.2722526307823,25564402,8294001206.75
20240111,CUSTOM_DATA_CENTRE,1048.0578490168648,1065.1919926485834,1032.5936621104458,1047.6903581575218,35396850,8180520846.3
20240112,CUSTOM_DATA_CENTRE,1053.5729421601188,1066.8476004228908,1032.2849823654303,1048.5127178126927,25951799,7974656509.1
20240115,CUSTOM_DATA_CENTRE,1054.136514695415,1063.4501210337337,1028.800227682015,1041.5107185578925,35935909,9005638011.300001
20240116,CUSTOM_DATA_CENTRE,1043.20693839233,1054.7559963211754,1014.0931781345018,1030.0352674728817,32117653,8944874286.3
20240117,CUSTOM_DATA_CENTRE,1023.2089671347621,1042.543958759485,1004.8708190878796,1024.7435090406634,25559620,8427095690.5
20240118,CUSTOM_DATA_CENTRE,1024.5902839571622,1041.9095071841573,995.3187993785142,1026.1604035246094,27186350,8536016897.65
20240119,CUSTOM_DATA_CENTRE,1035.8507754782872,1058.3550443931306,1022.908575774245,1042.7036876945547,40168978,8811068482.75
20240120,CUSTOM_DATA_CENTRE,1052.2584974080073,1066.4459124772861,1033.2509640814333,1045.3253433363682,155416178,17237830862.85
20240123,CUSTOM_DATA_CENTRE,1053.7877696789471,1069.5764316816583,1010.462856331927,1022.4593463315554,84851577,16787480877.5
20240124,CUSTOM_DATA_CENTRE,1022.0513794044911,1051.084400985806,1004.4540912224782,1040.341777527878,156932662,25849990417.95
