symbol,price_high_limit
CENTENKA,574.2
JKPAPER,401.5
OAL,373.1
METROPOLIS,573.767
PRICOLLTD,632.75
NRAIL,512.5
ATALREAL,31.85
KARURVYSYA,343.45
INDIAGLYCO,1175.2
BALRAMCHIN,623.0797
TVSMOTOR,3956.172
LALPATHLAB,1793.8781
NIBL,37.84
KANPRPLA,227.0
WSTCSTPAPR,568.0
FILATEX,75.8
PANACHE,454.05
HEG,672.0
JGCHEM,532.0
GHCLTEXTIL,122.3232
RANEHOLDIN,1837.7
MITCON,93.18
SONACOMS,761.1715
RICOAUTO,148.4
PAISALO,74.9
DEEPAKFERT,1680.0
STOVEKRAFT,828.0
PREMIERPOL,84.9019
STALLION,259.15
KALYANKJIL,615.8977
LLOYDSENGG,95.1
NEULANDLAB,20051.9421
AARVI,168.4
MPSLTD,3013.891
CAPLIPOINT,2699.0
