symbol,price_high_limit
MOLDTKPAC,705.1628
RITCO,289.5428
SSWL,280.2586
SENCO,393.6757
BALRAMCHIN,626.1951
LAGNAM,89.2063
METROPOLIS,573.767
TVSMOTOR,3956.172
MODIS,415.1
ASAL,556.6
FILATEX,73.0687
KARURVYSYA,343.45
PAISALO,74.9
INDIAGLYCO,1175.2
ADANIENT,3245.0
JUBLINGREA,764.7
PANACHE,454.05
CENTENKA,577.6
STALLION,259.15
WSTCSTPAPR,568.0
BAJFINANCE,1102.5
AARVI,168.4
ESAFSFB,37.2
INGERRAND,4734.8339
SONACOMS,761.1715
DEEPAKFERT,1680.0
GEOJITFSL,86.1669
MITCON,93.18
RANEHOLDIN,1837.7
FLUOROCHEM,4877.0982
PREMIERPOL,84.9019
GHCLTEXTIL,122.3232
STOVEKRAFT,828.0
CAPLIPOINT,2699.0
LLOYDSENGG,95.1
RICOAUTO,148.4
