symbol,price_high_limit
SUMEETINDS,33.3136
MMFL,525.9053
FILATEX,73.4629
METROPOLIS,578.75
CAPLIPOINT,2675.0
MOLDTKPAC,700.1
PONNIERODE,331.8
AARVI,154.7
WELENT,630.5949
HNDFDS,568.95
NAVKARCORP,117.3
GRAVITA,1846.3
NAZARA,311.0
TFCILTD,84.61
JUBLINGREA,764.7
INGERRAND,4734.8339
PRICOLLTD,632.75
FMGOETZE,497.45
AARTIIND,512.4
PAYTM,1381.8
AJANTPHARM,3506.8999
ABB,7790.6369
INDIAGLYCO,1175.2
GABRIEL,1385.4977
LENSKART,543.9
AVADHSUGAR,535.7503
COASTCORP,54.95
ALIVUS,1193.9
SAMBHV,124.09
ADANIENT,3245.0
ESAFSFB,37.2
KAPSTON,433.5
RANEHOLDIN,1795.0
HARSHA,441.4097
PANACHE,454.05
VARROC,683.3
UJJIVANSFB,68.0
DIAMONDYD,1228.9
LALPATHLAB,1793.8781
LLOYDSENGG,91.99
NEOGEN,2418.4608
BALRAMCHIN,623.0797
JSFB,518.8
GEOJITFSL,86.1669
DEEPAKFERT,1680.0
SSWL,278.5491
GUFICBIO,409.9
MITCON,93.18
SKIPPER,593.0
KSL,977.7667
STOVEKRAFT,828.0
GHCLTEXTIL,122.3232
NEULANDLAB,20051.9421
UNIMECH,1397.0
OFSS,12613.8062
PREMIERPOL,84.9019
TIRUPATIFL,74.9
