symbol,price_high_limit
ASIANENE,390.7043
HEG,676.3643
NIBL,37.84
METROPOLIS,598.8175
KARURVYSYA,345.2151
MEDANTA,1455.9759
NEULANDLAB,20051.9421
IDFCFIRSTB,87.0
GHCLTEXTIL,122.3232
STOVEKRAFT,828.0
VARROC,683.3
SPECTRUM,2520.0
KECL,148.0
CAPLIPOINT,2699.0
DEEPAKFERT,1680.0
PANACHE,454.05
PAYTM,1381.8
M&MFIN,412.2
PAISALO,74.9
SONACOMS,761.1715
LLOYDSENGG,95.1
OAL,421.397
JGCHEM,532.0
BALRAMCHIN,641.95
RICOAUTO,148.4
RANEHOLDIN,1837.7
MITCON,93.18
STALLION,259.15
FILATEX,75.8
DEEPINDS,578.0
EPACKPEB,281.08
ICIL,463.8
