symbol,price_high_limit
LAGNAM,89.2063
SUMEETINDS,35.5236
MOLDTKPAC,705.1628
METROPOLIS,573.767
LENSKART,543.9
ADOR,1462.313
NAZARA,311.0
SSWL,278.5491
WELENT,630.5949
AVADHSUGAR,535.7503
FILATEX,73.0687
CAPLIPOINT,2675.0
JSWCEMENT,141.9733
AJANTPHARM,3506.8999
KAPSTON,439.0
FMGOETZE,497.45
ADANIENT,3245.0
ICICIBANK,1488.5145
TFCILTD,84.61
PAYTM,1381.8
INDIAGLYCO,1175.2
SGIL,630.2
PANACHE,454.05
GRAVITA,1870.0
BAJFINANCE,1102.5
UJJIVANSFB,68.0
INGERRAND,4734.8339
BALRAMCHIN,623.0797
GEOJITFSL,86.1669
JSFB,552.5
GUFICBIO,409.9
DEEPAKFERT,1680.0
HARSHA,441.4097
LLOYDSENGG,95.1
PAISALO,74.9
VSSL,324.0
ESAFSFB,37.2
RANEHOLDIN,1837.7
MITCON,93.18
NEULANDLAB,20051.9421
STOVEKRAFT,828.0
SONACOMS,761.1715
KSL,982.55
TIRUPATIFL,74.9
GHCLTEXTIL,122.3232
LLOYDSENT,88.1553
RICOAUTO,148.4
AARVI,168.4
