symbol,price_high_limit
ASIANENE,388.1893
RKFORGE,630.9839
PRUDENT,3098.0
KALYANKJIL,615.8977
IDFCFIRSTB,87.0
KARURVYSYA,343.45
ATALREAL,31.85
DEEPAKFERT,1680.0
NIBL,37.84
METROPOLIS,598.8175
HEG,672.0
PANACHE,454.05
RAMRAT,450.7
KECL,148.0
VARROC,683.3
STALLION,259.15
MEDANTA,1455.9759
STOVEKRAFT,828.0
FILATEX,75.8
CAPLIPOINT,2699.0
LLOYDSENGG,95.1
SGIL,630.2
JGCHEM,532.0
RICOAUTO,148.4
GUFICBIO,407.7398
PAISALO,74.9
RANEHOLDIN,1837.7
INDIAGLYCO,1211.5407
MITCON,93.18
BALRAMCHIN,641.95
NEULANDLAB,20051.9421
SONACOMS,761.1715
SPECTRUM,2520.0
GHCLTEXTIL,122.3232
ICIL,463.8
