symbol,price_high_limit
HTMEDIA,27.3179
KAJARIACER,1239.0645
PAYTM,1381.8
SRGHFL,311.0
CAPLIPOINT,2675.0
INDIAGLYCO,1110.45
SUMEETINDS,32.99
EPACKPEB,278.8
LENSKART,543.9
MMFL,522.2187
AVADHSUGAR,535.7503
MOREPENLAB,63.4
PANACHE,454.05
SAMBHV,124.09
ADANIENT,3245.0
GRAVITA,1846.3
WELENT,630.5949
SSWL,255.6
RANEHOLDIN,1795.0
VARROC,683.3
GUFICBIO,409.9
SURYODAY,190.78
DIAMONDYD,1228.9
AJANTPHARM,3506.8999
COMSYN,199.9
LALPATHLAB,1793.8781
METROPOLIS,578.75
STOVEKRAFT,800.0
OBEROIRLTY,1983.9545
HARRMALAYA,235.0
NEULANDLAB,19747.0
BALRAMCHIN,623.0797
KAPSTON,433.5
TRAVELFOOD,1384.0
ALIVUS,1218.6166
LLOYDSENGG,91.99
KSL,977.7667
MITCON,93.18
PRUDENT,3156.2377
ESAFSFB,37.2
FILATEX,66.1
SKIPPER,593.0
OFSS,12613.8062
DEEPAKFERT,1680.0
TIRUPATIFL,74.9
