symbol,price_high_limit
BBTCL,242.271
PRICOLLTD,698.375
STALLION,260.8
PPLPHARMA,196.44
VARROC,683.3
KARURVYSYA,345.2151
REDINGTON,327.5112
SUPRAJIT,515.8535
HEG,672.0
IDFCFIRSTB,87.0
CHOICEIN,846.0
PAYTM,1381.8
ALIVUS,1193.9
VISAKAIND,87.9
MAHASTEEL,1032.0
FILATEX,75.8
PANACHE,454.05
GAEL,177.92
MEDANTA,1455.9759
GAIL,188.4551
DEEPINDS,621.0386
GUFICBIO,407.7398
SGIL,630.2
RICOAUTO,148.4
RANEHOLDIN,1837.7
EPACKPEB,281.08
PAISALO,74.9
NEULANDLAB,20051.9421
JGCHEM,532.0
MITCON,93.18
STOVEKRAFT,828.0
SPECTRUM,2520.0
CAPLIPOINT,2699.0
LLOYDSENGG,95.1
AARVI,168.4
DEEPAKFERT,1680.0
