symbol,price_high_limit
SONACOMS,765.185
REDINGTON,314.4
BBTCL,229.68
KARURVYSYA,345.2151
PRICOLLTD,694.2
NAZARA,314.0
HEG,672.0
METROPOLIS,598.8175
IDFCFIRSTB,87.0
MEDANTA,1455.9759
VARROC,683.3
GAEL,177.92
SPECTRUM,2520.0
SUPRAJIT,515.8535
PANACHE,454.05
STOVEKRAFT,828.0
PAYTM,1381.8
NEULANDLAB,20051.9421
EPACKPEB,281.08
M&MFIN,412.2
SICALLOG,123.01
DEEPINDS,578.0
RANEHOLDIN,1837.7
PAISALO,74.9
MITCON,93.18
CAPLIPOINT,2699.0
STALLION,260.8
GHCLTEXTIL,122.3232
RICOAUTO,148.4
BALRAMCHIN,641.95
LLOYDSENGG,95.1
FILATEX,75.8
