symbol,price_high_limit
LAGNAM,89.2063
SSWL,280.2586
LENSKART,550.0
SURYODAY,190.78
MOLDTKPAC,700.1
JUBLINGREA,764.7
NAZARA,311.0
JSWCEMENT,141.9733
BALRAMCHIN,623.0797
METROPOLIS,573.767
ASAL,556.6
TIIL,2658.0
WELENT,630.5949
TFCILTD,84.61
KARURVYSYA,343.45
ICICIBANK,1488.5145
INDIAGLYCO,1175.2
ADANIENT,3245.0
PRESTIGE,1741.5
RITCO,286.21
FMGOETZE,497.45
FILATEX,73.0687
CAPLIPOINT,2675.0
AARTIIND,512.4
UJJIVANSFB,67.45
ESAFSFB,37.2
NIBL,36.5
BAJFINANCE,1102.5
HUHTAMAKI,272.65
GUFICBIO,409.9
PANACHE,454.05
CHOICEIN,846.0
GRAVITA,1870.0
PAISALO,74.9
VARROC,683.3
SONACOMS,761.1715
LLOYDSENGG,95.1
GHCLTEXTIL,122.3232
RANEHOLDIN,1837.7
AARVI,168.4
DEEPAKFERT,1680.0
SUMEETINDS,35.2
GEOJITFSL,86.1669
STALLION,259.15
FLUOROCHEM,4877.0982
RAJRATAN,540.0
MITCON,93.18
NEULANDLAB,20051.9421
STOVEKRAFT,828.0
RICOAUTO,148.4
LLOYDSENT,88.1553
OFSS,12613.8062
KPIL,1467.8418
