symbol,price_high_limit
CENTENKA,578.5743
ASIANENE,383.8
RKFORGE,630.9839
ATALREAL,31.85
MANORAMA,1676.7
KANPRPLA,227.0
KARURVYSYA,343.45
STALLION,259.15
FILATEX,75.8
BALRAMCHIN,623.0797
RICOAUTO,148.4
KECL,140.0
SAMBHV,124.09
PRECOT,861.25
TVSMOTOR,3956.172
INDIAGLYCO,1211.5407
ENTERO,1303.2
ICICIBANK,1480.0
IDFCFIRSTB,87.0
TIIL,2658.0
NIBL,37.84
VARROC,683.3
LLOYDSENT,83.8
JUBLINGREA,764.7
DEEPAKFERT,1680.0
CAPLIPOINT,2699.0
HEG,672.0
PANACHE,454.05
MEDANTA,1455.9759
STOVEKRAFT,828.0
LLOYDSENGG,95.1
RANEHOLDIN,1837.7
BBTCL,229.68
JGCHEM,532.0
GHCLTEXTIL,122.3232
NEULANDLAB,20051.9421
SONACOMS,761.1715
MITCON,93.18
PAISALO,74.9
AARVI,168.4
OAL,421.397
