symbol,price_high_limit
TFCILTD,85.3473
AVADHSUGAR,535.7503
WELENT,630.5949
LENSKART,543.9
INDIAGLYCO,1175.2
JSWCEMENT,141.9733
GRAVITA,1846.3
FMGOETZE,497.45
FILATEX,73.0687
CAPLIPOINT,2675.0
PAYTM,1381.8
AJANTPHARM,3506.8999
ADANIENT,3245.0
ICICIBANK,1488.5145
BALRAMCHIN,623.0797
PANACHE,454.05
INGERRAND,4734.8339
SUMEETINDS,35.2
GABRIEL,1385.4977
KAPSTON,439.0
LLOYDSENGG,91.99
BAJFINANCE,1102.5
PAISALO,74.9
DIAMONDYD,1228.9
SSWL,278.5491
HARSHA,441.4097
JSFB,518.8
DEEPAKFERT,1680.0
KSL,977.7667
ADOR,1462.313
ESAFSFB,37.2
MITCON,93.18
GEOJITFSL,86.1669
RANEHOLDIN,1837.7
STOVEKRAFT,828.0
OFSS,12613.8062
GHCLTEXTIL,122.3232
MOREPENLAB,63.4
SONACOMS,761.1715
TIRUPATIFL,74.9
