symbol,price_high_limit
INDIAGLYCO,1175.2
TVSMOTOR,3956.172
PRICOLLTD,632.75
SENCO,390.4
METROPOLIS,573.767
WSTCSTPAPR,568.0
CENTENKA,574.2
BALRAMCHIN,623.0797
ASAL,556.6
STALLION,259.15
KARURVYSYA,343.45
JUBLINGREA,764.7
NIBL,36.5
MODIS,415.1
PAISALO,74.9
PANACHE,454.05
CARERATING,1788.3
KANPRPLA,218.4
ESAFSFB,37.2
KALYANKJIL,615.8977
FILATEX,75.8
SONACOMS,761.1715
MITCON,93.18
DEEPAKFERT,1680.0
GHCLTEXTIL,122.3232
RANEHOLDIN,1837.7
AARVI,168.4
PREMIERPOL,84.9019
SPECTRUM,2520.0
CAPLIPOINT,2699.0
LLOYDSENGG,95.1
RICOAUTO,148.4
