Date,HDFC,ICICI,AXISBANK,SBIN,KOTAK,INDUSIND,BANKBEES
2015-01-01,486.9628601074219,189.5659942626953,217.2353515625,294.02386474609375,764.6309814453125,124.95895385742188,279.88055419921875
2015-01-02,497.85308837890625,192.5030059814453,220.25868225097656,302.3697204589844,768.3036499023438,126.24468994140625,280.9947204589844
2015-01-05,500.99920654296875,192.26400756835938,218.39903259277344,302.99566650390625,771.3167724609375,125.73834228515625,278.7663879394531
2015-01-06,483.0907897949219,186.3070068359375,214.99920654296875,290.1430358886719,751.8245239257812,124.23915100097656,267.3126220703125
2015-01-07,482.7035827636719,184.75900268554688,215.62669372558594,282.2979431152344,745.7506713867188,126.23973083496094,267.5354919433594
2015-01-08,485.8980712890625,188.34500122070312,220.156005859375,289.9761657714844,752.1068725585938,133.10523986816406,271.7247619628906
2015-01-09,479.1219177246094,187.46299743652344,222.6203155517578,285.3024597167969,755.21435546875,135.12069702148438,270.2541198730469
2015-01-12,485.51080322265625,189.43899536132812,220.65802001953125,289.22491455078125,781.0631103515625,136.11851501464844,273.73028564453125
2015-01-13,488.36651611328125,188.11300659179688,219.81375122070312,284.5095520019531,777.3435668945312,138.29776000976562,271.9476318359375
2015-01-14,483.6231994628906,187.51199340820312,219.939208984375,281.1712646484375,769.0097045898438,138.12403869628906,271.5910949707031
2015-01-15,497.6111145019531,194.0229949951172,226.61338806152344,294.48291015625,781.9104614257812,139.0374298095703,285.4959716796875
2015-01-16,498.3371276855469,193.61300659179688,228.48443603515625,295.3174133300781,783.322998046875,138.5360870361328,281.1730041503906
2015-01-19,512.0346069335938,195.406005859375,229.21463012695312,301.1178283691406,780.7805786132812,137.95030212402344,279.1229553222656
2015-01-20,533.7667236328125,198.41900634765625,232.9566650390625,306.9181823730469,791.42138671875,138.57083129882812,283.5796203613281
2015-01-21,529.7494506835938,200.7550048828125,232.72850036621094,307.50238037109375,793.3988037109375,137.8212127685547,290.7549133300781
2015-01-22,546.6898193359375,200.58200073242188,233.025146484375,308.6290588378906,796.883056640625,137.77154541015625,289.3733215332031
2015-01-23,547.0769653320312,202.25599670410156,237.94236755371094,309.3802185058594,807.3353881835938,137.53823852539062,291.86907958984375
2015-01-27,573.1651000976562,206.46800231933594,245.0728759765625,320.06280517578125,812.8912963867188,137.84107971191406,294.18658447265625
2015-01-28,571.7130737304688,206.197998046875,241.49050903320312,320.5218811035156,818.0703735351562,134.147705078125,298.2420959472656
2015-01-29,580.3284912109375,206.2779998779297,249.85316467285156,317.3922119140625,824.9445190429688,132.1868438720703,291.46795654296875
2015-01-30,569.2930297851562,200.9250030517578,245.8258819580078,301.0343322753906,819.4358520507812,131.27346801757812,275.3792724609375
2015-02-02,597.5592651367188,202.99099731445312,246.79562377929688,293.6483459472656,823.5320434570312,134.266845703125,274.08685302734375
2015-02-03,567.8410034179688,196.177001953125,242.80250549316406,289.2667236328125,811.1021118164062,129.69480895996094,267.6691589355469
2015-02-04,540.736328125,194.0570068359375,243.62388610839844,287.6393127441406,812.9384155273438,128.2253875732422,261.2069396972656
2015-02-05,547.8031005859375,192.61900329589844,245.63194274902344,280.0863342285156,814.9159545898438,127.86798095703125,259.20147705078125
2015-02-06,545.1410522460938,190.11599731445312,240.38388061523438,274.8701477050781,795.9884033203125,125.78303527832031,258.75579833984375
2015-02-09,535.8963012695312,186.42100524902344,237.3262939453125,267.1085510253906,777.0140380859375,125.71849060058594,249.1293182373047
2015-02-10,536.3803100585938,189.572998046875,240.60060119628906,276.2889404296875,791.7508544921875,127.6545181274414,256.081787109375
2015-02-11,551.0459594726562,191.38499450683594,241.5019073486328,279.335205078125,805.5933837890625,128.94024658203125,254.87852478027344
2015-02-12,560.2420654296875,193.47900390625,245.51780700683594,283.049072265625,819.2005615234375,128.7317657470703,253.40774536132812
2015-02-13,562.516845703125,196.12399291992188,243.19039916992188,286.9715576171875,824.285400390625,130.0125274658203,273.5965881347656
2015-02-16,552.062255859375,194.75,243.58975219726562,282.131103515625,812.561767578125,128.31973266601562,273.37384033203125
2015-02-18,551.287841796875,195.33900451660156,245.24398803710938,285.7614440917969,814.3980102539062,129.84373474121094,272.4824523925781
2015-02-19,547.173828125,192.42599487304688,246.38490295410156,282.5483703613281,807.4767456054688,129.78916931152344,269.49639892578125
2015-02-20,543.543701171875,191.9600067138672,244.84469604492188,276.20550537109375,825.6508178710938,128.89556884765625,269.45184326171875
2015-02-23,531.4917602539062,190.3280029296875,243.5783233642578,274.57806396484375,816.9404296875,130.74224853515625,264.32666015625
2015-02-24,534.15380859375,189.87899780273438,243.6125946044922,272.11602783203125,813.73876953125,134.06333923339844,264.0592956542969
2015-02-25,535.3154907226562,188.20700073242188,240.14425659179688,269.1532897949219,808.4655151367188,133.29385375976562,263.4353332519531
2015-02-26,534.6378784179688,186.38499450683594,236.88131713867188,268.1517639160156,795.9884033203125,132.38047790527344,257.95361328125
2015-02-27,549.0130615234375,191.3520050048828,240.4979248046875,279.794189453125,814.068359375,132.81729125976562,267.3126220703125
2015-03-02,626.8418579101562,200.50900268554688,247.01235961914062,291.31146240234375,889.4014282226562,139.46435546875,269.1844482421875
2015-03-03,611.2083129882812,199.94900512695312,247.19491577148438,290.9776306152344,883.8455200195312,139.8614959716797,269.71929931640625
2015-03-04,593.15478515625,196.50799560546875,243.0763397216797,291.56182861328125,855.2189331054688,140.015380859375,261.9200439453125
2015-03-05,597.0753173828125,197.9810028076172,247.59423828125,290.22650146484375,859.927490234375,140.21395874023438,261.87548828125
2015-03-09,572.6810913085938,192.1529998779297,241.63880920410156,277.74945068359375,842.9774169921875,135.48306274414062,259.0677490234375
2015-03-10,566.7279052734375,190.76199340820312,240.16709899902344,278.4588623046875,844.43701171875,133.8151092529297,256.34918212890625
2015-03-11,565.178955078125,191.11599731445312,241.0569610595703,277.6243591308594,838.2692260742188,136.60498046875,254.1654510498047
2015-03-12,565.4210205078125,192.09100341796875,240.63482666015625,282.2562561035156,839.7757568359375,136.01918029785156,255.68067932128906
2015-03-13,551.7719116210938,188.48800659179688,237.9081573486328,275.5795593261719,824.1441040039062,133.164794921875,250.24351501464844
2015-03-16,550.4165649414062,189.19400024414062,239.93890380859375,276.622802734375,826.0745849609375,130.55360412597656,251.04571533203125
2015-03-17,561.5488891601562,191.5279998779297,241.42205810546875,279.4603271484375,850.4637451171875,133.0059356689453,252.3381805419922
2015-03-18,562.662109375,191.55599975585938,242.677001953125,279.4186706542969,850.5108032226562,133.32862854003906,256.081787109375
