requested_date,actual_date,symbol,close,ema_50,ema_200,above_50ema,above_200ema,above_both,ema50_above_ema200
2026-03-02,2026-03-02,20MICRONS.NS,170.17999267578125,184.53653189576613,203.58126631545946,False,False,False,False
2026-03-02,2026-03-02,21STCENMGM.NS,35.619998931884766,40.60627786665799,51.06429748942453,False,False,False,False
2026-03-02,2026-03-02,360ONE.NS,1068.497314453125,1130.7071516679457,1099.168491012947,False,False,False,True
2026-03-02,2026-03-02,3IINFOLTD.NS,13.550000190734863,15.441053819936776,19.60950524685932,False,False,False,False
2026-03-02,2026-03-02,3MINDIA.NS,35675.0,35416.65202785016,32932.69610901238,True,True,True,True
2026-03-02,2026-03-02,3PLAND.NS,31.399999618530273,35.7093308559824,40.54520473494526,False,False,False,False
2026-03-02,2026-03-02,5PAISA.NS,306.95001220703125,334.6385449363499,356.62570011928665,False,False,False,False
2026-03-02,2026-03-02,63MOONS.NS,597.5,669.9378898009915,752.9930369206375,False,False,False,False
2026-03-02,2026-03-02,A2ZINFRA.NS,16.979999542236328,15.370928683961907,16.587922225121623,True,True,True,False
2026-03-02,2026-03-02,AAATECH.NS,98.69999694824219,102.22693109317468,94.81933017951236,False,True,False,True
2026-03-02,2026-03-02,AADHARHFC.NS,452.6000061035156,475.0618188666488,476.66577635410334,False,False,False,False
2026-03-02,2026-03-02,AAREYDRUGS.NS,69.66999816894531,71.33830173377412,70.0645234339547,False,False,False,True
2026-03-02,2026-03-02,AARON.NS,152.92999267578125,165.70276457968623,178.12124700623613,False,False,False,False
2026-03-02,2026-03-02,AARTECH.NS,41.5,47.4344409530732,54.260977461169865,False,False,False,False
2026-03-02,2026-03-02,AARTIDRUGS.NS,357.29998779296875,385.5464788253543,428.0694536825581,False,False,False,False
2026-03-02,2026-03-02,AARTIIND.NS,432.95001220703125,413.8575423629632,410.0196993644459,True,True,True,True
2026-03-02,2026-03-02,AARTIPHARM.NS,705.75,741.8068970707528,768.7573906732428,False,False,False,False
2026-03-02,2026-03-02,AARTISURF.NS,385.6000061035156,412.83006186564904,461.73290909940147,False,False,False,False
2026-03-02,2026-03-02,AARVI.NS,122.54000091552734,127.27019869618061,122.93930280817035,False,False,False,True
2026-03-02,2026-03-02,AAVAS.NS,1240.0999755859375,1389.4031591023397,1572.3210458882488,False,False,False,False
