,NEUTRAL,RISK_OFF,RISK_ON,STRONG_RISK_OFF,STRONG_RISK_ON
NEUTRAL,573,147,93,29,43
RISK_OFF,253,74,8,68,14
RISK_ON,184,35,138,2,74
STRONG_RISK_OFF,54,34,0,88,3
STRONG_RISK_ON,69,6,100,0,46
