,precision,recall,f1-score,support
NEUTRAL,0.5057369814651368,0.6474576271186441,0.5678889990089198,885.0
RISK_OFF,0.25,0.1774580335731415,0.20757363253856942,417.0
RISK_ON,0.40707964601769914,0.3187066974595843,0.35751295336787564,433.0
STRONG_RISK_OFF,0.47058823529411764,0.49162011173184356,0.4808743169398907,179.0
STRONG_RISK_ON,0.25555555555555554,0.2081447963800905,0.22942643391521197,221.0
accuracy,0.4304449648711944,0.4304449648711944,0.4304449648711944,0.4304449648711944
macro avg,0.3777920836665018,0.36867745325266077,0.36865526715409347,2135.0
weighted avg,0.40693479494975865,0.4304449648711944,0.4125165444155831,2135.0
