,precision,recall,f1-score,support
NEUTRAL,0.463768115942029,0.6181818181818182,0.5299561617145641,880.0
RISK_OFF,0.26153846153846155,0.12114014251781473,0.16558441558441558,421.0
RISK_ON,0.34688346883468835,0.29493087557603687,0.31880448318804483,434.0
STRONG_RISK_OFF,0.35294117647058826,0.3016759776536313,0.3253012048192771,179.0
STRONG_RISK_ON,0.2,0.22171945701357465,0.21030042918454936,221.0
accuracy,0.38688524590163936,0.38688524590163936,0.38688524590163936,0.38688524590163936
macro avg,0.3250262445571534,0.31152965418857514,0.3099893388981702,2135.0
weighted avg,0.3635351430441067,0.38688524590163936,0.36493626111751887,2135.0
