Date,Close,gmm_cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,gmm_regime,numeric_regime,smoothed_numeric_regime,smoothed_regime
2021-02-08,15115.7998046875,0,0.9997596594435173,0.00024034053489667079,2.158542109748451e-11,Neutral,1,1,Neutral
2021-02-09,15109.2998046875,0,0.9776676583946161,0.0223323415998126,5.5713842668055345e-12,Neutral,1,1,Neutral
2021-02-10,15106.5,0,0.9771880354936718,0.022811964489155272,1.7172112362643414e-11,Neutral,1,1,Neutral
2021-02-11,15173.2998046875,0,0.9883625608829493,0.011637439080028972,3.7021148466838916e-11,Neutral,1,1,Neutral
2021-02-12,15163.2998046875,0,0.9722852060119804,0.02771479365498827,3.3303139451050563e-10,Neutral,1,1,Neutral
2021-02-15,15314.7001953125,0,0.9967580440231498,0.0032419540577806613,1.9190687565822662e-09,Neutral,1,1,Neutral
2021-02-16,15313.4501953125,0,0.9930249168163557,0.006975082914592226,2.690527252205969e-10,Neutral,1,1,Neutral
2021-02-17,15208.900390625,0,0.9273492053665313,0.07265079063747866,3.995990658068652e-09,Neutral,1,1,Neutral
2021-02-18,15118.9501953125,0,0.8431012969153203,0.15689870067431008,2.4103700282100876e-09,Neutral,1,1,Neutral
2021-02-19,14981.75,1,0.3263158642439264,0.6736840508784585,8.487761539864079e-08,Risk-Off,0,0,Risk-Off
2021-02-22,14675.7001953125,1,0.04238435908875764,0.9576156407803854,1.3085655528792579e-10,Risk-Off,0,0,Risk-Off
2021-02-23,14707.7998046875,0,0.9800027714607156,0.01999722852712285,1.2161500212951527e-11,Neutral,1,1,Neutral
2021-02-24,14982.0,0,0.9999999856400734,1.4357214245527812e-08,2.7130255561235773e-12,Neutral,1,1,Neutral
2021-02-25,15097.349609375,0,0.9999724741399765,2.7525802217163807e-05,5.7805905543282513e-11,Neutral,1,1,Neutral
2021-02-26,14529.150390625,1,4.941092388025524e-13,0.9999999999995062,1.1929622516571875e-32,Risk-Off,0,0,Risk-Off
2021-03-01,14761.5498046875,0,0.9999986978395463,1.3021604541326603e-06,1.4058021139669018e-16,Neutral,1,1,Neutral
2021-03-02,14919.099609375,0,0.9992040777374818,0.0007959222625178977,4.1970157538069013e-17,Neutral,1,1,Neutral
2021-03-03,15245.599609375,0,0.9999998809633031,1.1903669458494382e-07,1.88057791620875e-15,Neutral,1,1,Neutral
2021-03-04,15080.75,0,0.559523686666074,0.4404763133339228,2.722218273005093e-15,Neutral,1,1,Neutral
2021-03-05,14938.099609375,1,0.4646841991795882,0.5353158008204122,1.7514061334280074e-17,Risk-Off,0,0,Risk-Off
2021-03-08,14956.2001953125,0,0.9201008386017323,0.07989916139800217,2.652189547913727e-13,Neutral,1,1,Neutral
2021-03-09,15098.400390625,0,0.9998567351772041,0.00014326482253956913,2.5692086341987394e-13,Neutral,1,1,Neutral
2021-03-10,15174.7998046875,0,0.9869093365763727,0.01309066342332218,3.053371222453782e-13,Neutral,1,1,Neutral
2021-03-12,15030.9501953125,1,0.19348623519055153,0.806513764807118,2.3296661426843176e-12,Risk-Off,0,0,Risk-Off
2021-03-15,14929.5,1,0.4635945562393133,0.5364054437595964,1.0897570997895879e-12,Risk-Off,0,0,Risk-Off
2021-03-16,14910.4501953125,0,0.9295597235943199,0.07044027637029489,3.538596593479e-11,Neutral,1,1,Neutral
