Date,Close,High,Low,Open,Volume,dist_ema_10,dist_ema_21,dist_ema_50,dist_ema_200,spread_ema_10_21,spread_ema_21_50,spread_ema_50_200,rsi_7,rsi_14,rsi_28,adx_14,natr_5,natr_14,natr_21,gk_vol_21,vol_zscore_5,vol_zscore_20,dist_ema_10_roc_1d,dist_ema_10_roc_5d,dist_ema_21_roc_1d,dist_ema_21_roc_5d,dist_ema_50_roc_1d,dist_ema_50_roc_5d,dist_ema_200_roc_1d,dist_ema_200_roc_5d,rsi_14_roc_1d,rsi_14_roc_5d,adx_14_roc_1d,adx_14_roc_5d,natr_14_roc_1d,natr_14_roc_5d,gk_vol_21_roc_1d,gk_vol_21_roc_5d
2021-02-08,15115.7998046875,15159.900390625,15041.0498046875,15064.2998046875,671200,0.03265393568043956,0.044811764959531514,0.057631900402349875,0.07145152777047731,0.011773382019873749,0.012270282430553338,0.013066575774492144,74.54225517973214,67.97524984277052,65.57552231417137,0.0,1.8554245078035727,1.5873453545700058,1.3583122323898336,0.010272976394635465,-1.7353290454678685,-0.6911985146145412,0.00563345151152932,0.02376932864134701,0.008596556616967815,0.03955048952529213,0.010940322523336356,0.04915930736370322,0.012817391818757351,0.056321555673636156,3.2140892393420586,15.860831386903286,0.0,0.0,-0.022584201718134578,-0.03687335497726707,1.9536109861774745e-05,0.0004934874957648015
2021-02-09,15109.2998046875,15257.099609375,15064.2998046875,15164.150390625,713300,0.026200101763091944,0.040167535002271694,0.05481196333993158,0.0702348008173361,0.013610828156402056,0.01407891310280887,0.014621409325478275,74.10651714224534,67.74943196620708,65.41803146506683,0.0,1.7401849697713059,1.5657429272871206,1.3549507401068432,0.010362484372576211,-0.8790361504331858,-0.3670327721852916,-0.006453833917347617,-0.002082517230937442,-0.00464422995725982,0.01200170624312609,-0.0028199370624182943,0.021840305094841098,-0.0012167269531412062,0.029469395842353308,-0.22581787656343977,7.851845435749695,0.0,0.0,-0.021602427282885195,-0.12438961980599172,8.950797794074657e-05,0.0003345625917843386
2021-02-10,15106.5,15168.25,14977.2001953125,15119.0498046875,624800,0.02118069754818491,0.03620913016860622,0.05236252814056592,0.06929131448036524,0.014716722179046269,0.015588936153584464,0.016086458693764995,73.8894637242048,67.64518978518774,65.34792565383239,0.0,1.6453432120516716,1.544508331038208,1.3508915888490136,0.010473354559783918,-1.0336617923958886,-1.0010831377920937,-0.005019404214907035,-0.009905162505656446,-0.003958404833665476,0.0016560343310769235,-0.0024494351993656627,0.01112539635004614,-0.0009434863369708613,0.018960877877035397,-0.10424218101934457,5.199917728043523,0.0,0.0,-0.021234596248912663,-0.15214771407637406,0.0001108701872077067,0.0002008497299055955
2021-02-11,15173.2998046875,15188.5,15065.400390625,15073.25,500100,0.020926460939075592,0.036945874835773426,0.054657863844407774,0.07322919195462485,0.01569105563388253,0.017080919494896,0.017608865156062473,75.85772465196695,68.8756573186508,66.24300603351779,0.0,1.4727379186749743,1.4858217175521038,1.319532280194554,0.010409074255545858,-1.1857090904587215,-1.7883680305100558,-0.0002542366091093165,-0.010318086908734023,0.0007367446671672079,-0.0010427129152487183,0.0022953357038418554,0.00797733846965204,0.00393787747425961,0.01600072384942984,1.230467533463056,4.611744531361481,0.0,0.0,-0.058686613486104156,-0.17386689590453352,-6.428030423805998e-05,6.740943355704014e-05
2021-02-12,15163.2998046875,15243.5,15081.0,15186.2001953125,571800,0.01651034214939722,0.0328575668010476,0.051737115765587406,0.07174849245087087,0.016081710115299363,0.0182789472347221,0.019026975833896138,74.87199486349039,68.45594476263621,65.97842796720363,0.0,1.3933006305460236,1.4571490887393115,1.308557922132887,0.01030507281881625,-0.5313690326170106,-1.1721038247427304,-0.004416118789678371,-0.01051014201951302,-0.004088308034725825,-0.0033576415415160973,-0.0029207480788203677,0.0050455378865738865,-0.001480699503753985,0.013114356499150909,-0.4197125560145878,3.6947841592077424,0.0,0.0,-0.02867262881279231,-0.1527804675488289,-0.00010400143672960847,5.163253404255955e-05
2021-02-15,15314.7001953125,15340.150390625,15243.400390625,15270.2998046875,456000,0.021707385264309553,0.03909230511194071,0.059652039469794,0.08156223006968287,0.017015556604921454,0.019786244452689318,0.02067677858748031,79.56285145521021,71.30681017851609,67.986016845007,0.0,1.334576557249839,1.4221747038086137,1.2889146811301544,0.010235392811087454,-1.1524031966873594,-1.7827111656201806,0.0051970431149123315,-0.010946550416130008,0.0062347383108931065,-0.005719459847590806,0.007914923704206593,0.002020139067444124,0.009813737618812005,0.010110702299205562,2.8508654158798805,3.3315603357455643,0.0,0.0,-0.03497438493069782,-0.16517065076139215,-6.968000772879582e-05,-3.7583583548011015e-05
2021-02-16,15313.4501953125,15431.75,15242.2001953125,15371.4501953125,648500,0.017623070071575122,0.03533605123446197,0.05709627436995974,0.08059792625296032,0.017406229952747626,0.02101754605140274,0.02223227198204611,79.42004295165393,71.24955575416723,67.9516849387223,0.0,1.3153082895384598,1.4091128405800533,1.2865808241981513,0.010136356453797558,1.0828377661385564,-0.36296647397835163,-0.004084315192734431,-0.008577031691516822,-0.0037562538774787366,-0.004831483767809723,-0.0025557650998342604,0.0022843110300281577,-0.0009643038167225504,0.010363125435624218,-0.05725442434885508,3.500123787960149,0.0,0.0,-0.0130618632285604,-0.15663008670706735,-9.903635728989585e-05,-0.00022612791877865343
2021-02-17,15208.900390625,15314.2998046875,15170.75,15279.900390625,504800,0.008717524628658215,0.025631842998069296,0.047829539747455185,0.07243900303887275,0.01676814168132728,0.021642948101629558,0.023486132388812843,67.58304698913197,66.44412290986853,65.10021860891852,0.0,1.248250826346095,1.3848747577526965,1.2786836199343128,0.010031328832753527,-0.41827290774189074,-1.3530735359895585,-0.008905545442916907,-0.012463172919526694,-0.009704208236392675,-0.010577287170536923,-0.009266734622504554,-0.004532988393110733,-0.008158923214087566,0.0031476885585075137,-4.805432844298707,-1.2010668753192135,0.0,0.0,-0.024238082827356733,-0.15963357328551142,-0.00010502762104403103,-0.00044202572703039116
2021-02-18,15118.9501953125,15250.75,15078.0498046875,15238.7001953125,770600,0.00225022714795651,0.01775563166851602,0.039934508197415994,0.06539557999049767,0.01547059217405449,0.021791946749083333,0.024483341587745712,58.78821882654598,62.53620491467503,62.75079983098574,0.0,1.232997109571811,1.3751970915635081,1.2794333015935049,0.010009737893600362,1.4527614779823679,0.46658322130812324,-0.0064672974807017045,-0.018676233791119084,-0.007876211329553275,-0.019190243167257405,-0.007895031550039192,-0.01472335564699178,-0.007043423048375089,-0.007833611964127185,-3.9079179951934933,-6.339452403975763,0.0,0.0,-0.009677666189188416,-0.11062462598859568,-2.159093915316511e-05,-0.0003993363619454963
2021-02-19,14981.75,15144.0498046875,14898.2001953125,15074.7998046875,712200,-0.005607359504656059,0.007739266891875667,0.029266418483286278,0.055142338366745626,0.013421887746356687,0.021361826713179315,0.025140157512949634,47.73423208735166,57.02679443160373,59.362092397667695,0.0,1.3236297295018529,1.405876832558826,1.3078093529280583,0.010216007186619587,0.6982775053365272,0.05223025479520903,-0.00785758665261257,-0.02211770165405328,-0.010016364776640354,-0.025118299909171936,-0.010668089714129716,-0.022470697282301128,-0.01025324162375204,-0.01660615408412524,-5.509410483071299,-11.429150331032474,0.0,0.0,0.030679740995317895,-0.051272256180485476,0.00020626929301922545,-8.906563219666236e-05
2021-02-22,14675.7001953125,15010.099609375,14635.0498046875,14999.0498046875,609900,-0.021308504425853674,-0.011692753166297159,0.007914674410951396,0.03324239061764784,0.009825109652061976,0.01983940484102085,0.025128829701282548,32.05054369545604,47.06582996318446,52.7698615313443,0.0,1.5921031053213044,1.5152229993215638,1.3932017527485332,0.010313078879723275,-0.38768964433185976,-0.6080969235150986,-0.015701144921197615,-0.04301588969016323,-0.019432020058172825,-0.050785058278237864,-0.02135174407233488,-0.051737365058842605,-0.021899947749097787,-0.04831983945203503,-9.96096446841927,-24.240980215331625,0.0,0.0,0.10934616676273778,0.09304829551295013,9.707169310368795e-05,7.76860686358214e-05
2021-02-23,14707.7998046875,14854.5,14651.849609375,14782.25,744100,-0.01573763233513381,-0.00867211926831349,0.009718558508901428,0.03513669336145969,0.007178485431260613,0.01855155911043377,0.025173484867005325,34.676817664476715,48.08998547259035,53.333538111501426,0.0,1.546471287175674,1.5023393964066218,1.3895745291625439,0.010320569600509021,0.6897579299605465,0.2924953327869594,0.005570872090719863,-0.033360702406708936,0.0030206338979836683,-0.04400817050277546,0.0018038840979500322,-0.04737771586105831,0.0018943027438118529,-0.04546123289150063,1.0241555094058867,-23.159570281576883,0.0,0.0,-0.01288360291494195,0.09322655582656858,7.490720785745947e-06,0.0001842131467114632
