date,symbol,pivot_price,pivot_index,pivot_index_pos,close_prev,close_today,depth,recovery,ath,scan_date,day_move,day_move_pct
2026-07-21,AZAD.NS,2350.0,2026-05-10 00:00:00,40,2345.699951171875,2378.60009765625,0.20221274517952129,,2491.5,2026-07-21 15:52:30.026672,32.900146484375,1.4025726720904181
2026-07-21,BATLIBOI.NS,88.94999694824219,2026-04-26 00:00:00,1,81.69000244140625,90.81999969482422,0.19943786927943347,,97.44999694824219,2026-07-21 15:52:29.665216,9.129997253417969,11.176394883776185
2026-07-21,CMPDI.NS,263.6499938964844,2026-05-17 00:00:00,6,253.4600067138672,264.7099914550781,0.19916554417768234,,283.69000244140625,2026-07-21 15:52:29.811618,11.249984741210938,4.43856405082129
2026-07-21,HAL.NS,4535.0,2026-06-28 00:00:00,47,4491.0,4581.7001953125,0.2952981851726929,,5553.466991413298,2026-07-21 15:52:29.851306,90.7001953125,2.019599094021376
2026-07-21,KAPSTON.NS,433.5,2026-02-01 00:00:00,26,432.25,451.95001220703125,0.4140715109573241,,433.5,2026-07-21 15:52:29.964064,19.70001220703125,4.557550539509832
2026-07-21,KPIL.NS,1335.5999755859375,2025-11-09 00:00:00,14,1323.4000244140625,1341.699951171875,0.2459568778113257,,1467.8417933421536,2026-07-21 15:52:30.278206,18.2999267578125,1.3827963140558972
2026-07-21,PIDILITIND.NS,1574.949951171875,2025-09-07 00:00:00,5,1565.800048828125,1591.300048828125,0.20060951837662253,,1695.8617861262949,2026-07-21 15:52:29.853059,25.5,1.628560429480424
2026-07-21,QUESS.NS,296.7855553858126,2025-08-03 00:00:00,0,294.95001220703125,299.6499938964844,0.44707267077365387,,1173.7725339585081,2026-07-21 15:52:30.351179,4.699981689453125,1.5934841481390123
2026-07-21,SIKA.NS,1199.800048828125,2026-05-10 00:00:00,2,1112.5999755859375,1202.0999755859375,0.27479584916187816,,1359.4000244140625,2026-07-21 15:52:29.940947,89.5,8.044220920719138
2026-07-21,SKFINDUS.NS,2766.0,2026-02-01 00:00:00,8,2636.199951171875,2814.89990234375,0.28162632238768187,,3041.0,2026-07-21 15:52:30.139981,178.699951171875,6.778694882094857
2026-07-21,SOUTHBANK.NS,46.84000015258789,2026-01-25 00:00:00,25,46.18000030517578,47.279998779296875,0.28736120923622577,,49.900001525878906,2026-07-21 15:52:30.263391,1.0999984741210938,2.381980222719504
2026-07-21,SPANDANA.NS,294.0799865722656,2026-05-10 00:00:00,40,285.70001220703125,303.1499938964844,0.24068276235150984,,1397.0,2026-07-21 15:52:30.043301,17.449981689453125,6.107798720291294
2026-07-21,STARHEALTH.NS,586.25,2026-05-03 00:00:00,39,581.2000122070312,588.6500244140625,0.1609381767224147,,940.0,2026-07-21 15:52:30.371281,7.45001220703125,1.2818327685061122
2026-07-20,AARNAV.NS,30.450000762939453,2026-03-22 00:00:00,3,28.34000015258789,31.520000457763672,0.3103448448658498,,30.450000762939453,2026-07-20 16:01:12.452831,3.180000305175781,11.220890218962817
2026-07-20,AARVI.NS,152.0,2025-11-23 00:00:00,16,148.8699951171875,156.5,0.2361842205649928,,192.96724539668585,2026-07-20 16:01:12.180452,7.6300048828125,5.125280535413675
2026-07-20,GABRIEL.NS,1385.4976913011344,2025-10-12 00:00:00,10,1336.5999755859375,1398.0,0.4256937292621674,,1385.4976913011344,2026-07-20 16:01:12.634640,61.4000244140625,4.593747234444323
2026-07-20,HNDFDS.NS,572.0,2025-08-10 00:00:00,1,558.4000244140625,572.9500122070312,0.2272727272727272,,749.0,2026-07-20 16:01:12.301446,14.54998779296875,2.605656725791921
2026-07-20,MANAPPURAM.NS,334.0,2026-05-31 00:00:00,43,325.45001220703125,337.1000061035156,0.1540419527156624,,347.8999938964844,2026-07-20 16:01:12.448132,11.649993896484377,3.579656924109552
2026-07-20,NOVARTIND.NS,1575.0,2026-05-31 00:00:00,43,1570.0999755859375,1667.9000244140625,0.1923174758184523,,1589.199951171875,2026-07-20 16:01:12.155866,97.800048828125,6.228905824396787
2026-07-20,PLASTIBLEN.NS,199.6999969482422,2025-09-14 00:00:00,6,198.57000732421875,199.8600006103516,0.3940410416351004,,393.8211575661674,2026-07-20 16:01:12.188487,1.2899932861328125,0.6496415564041114
2026-07-20,SAREGAMA.NS,512.1393338849186,2025-09-21 00:00:00,7,494.8500061035156,514.1500244140625,0.4004561503530891,,675.5858194762956,2026-07-20 16:01:11.855203,19.300018310546875,3.90017542133961
2026-07-20,SGFIN.NS,650.0,2026-05-10 00:00:00,39,631.1500244140625,671.9000244140625,0.163000018780048,,701.8499755859375,2026-07-20 16:01:12.502347,40.75,6.456468101673746
2026-07-20,TATVA.NS,1610.0,2025-11-23 00:00:00,16,1428.0999755859375,1713.699951171875,0.3514906983938276,,2962.7587731957824,2026-07-20 16:01:12.422597,285.5999755859375,19.998598170184703
2026-07-20,THYROCARE.NS,536.6666870117188,2025-11-23 00:00:00,16,520.5999755859375,555.5,0.3617081214778498,,976.5510025710768,2026-07-20 16:01:12.324338,34.9000244140625,6.7038083078629365
2026-07-20,TINNARUBR.NS,1068.5999755859375,2025-10-12 00:00:00,10,991.5999755859376,1189.9000244140625,0.5064102337099358,,1083.52234792296,2026-07-20 16:01:12.541494,198.300048828125,19.99798847422816
2026-07-20,TIPSMUSIC.NS,692.0999755859375,2026-04-26 00:00:00,38,669.0,710.5499877929688,0.1803929778790101,,923.021773905333,2026-07-20 16:01:12.616641,41.54998779296875,6.2107605071702165
