feature,variance
Open,110132677.94700126
High,111097886.90761128
Low,108937548.48682302
Close,110007956.06090549
Volume,555643569369.9963
EMA10,109982444.69983652
EMA10_Dist,0.00019950087759280227
EMA21,109815966.74701788
EMA21_Dist,0.0004600325071218781
EMA50,109103731.68849424
EMA50_Dist,0.0011580669525019505
EMA200,103451925.3914423
EMA200_Dist,0.004719301468298181
Above_EMA200,0.185727037475012
Above_EMA50,0.23965596242299939
EMA50_Above_EMA200,0.1740918628856946
days_above_ema200,12658.982677251279
days_below_ema200,301.5672307062398
days_above_ema50,916.435411036356
days_below_ema50,111.94708739293056
EMA10_21_Spread,0.00010223278979372778
EMA21_50_Spread,0.0003157009111765669
EMA50_200_Spread,0.002167609202374545
EMA50_Slope_5,1.944541441648526e-06
EMA50_Slope_20,1.7327818422036552e-06
EMA200_Slope_20,4.944309036807009e-07
RSI7,296.0040715331324
RSI14,144.11914277420888
RSI28,74.07625602920015
ADX14,99.62971012919654
ADX28,71.05561472395888
ROC1,0.0001060867343545408
ROC5,0.0005424439867871688
ROC10,0.0010528147421354488
ATR5,16020.89140272252
NATR5,1.024963390306222
ATR14,14982.949974920033
NATR14,0.8261435314417366
ATR21,14613.44935852761
NATR21,0.7753054800489553
ATR50,13675.258551621777
ATR5_ATR50_RATIO,0.05934844636736535
GK_VOL_21,4.443818763074896e-05
BB_WIDTH,0.0011636264551253166
VOL_Z_5,0.8262466495366909
VOL_Z_20,0.9972159518774153
CMF20,0.03488750206152832
Nearest_Daily_Support,108134940.13912986
Nearest_Daily_Resistance,111847478.61772183
Daily_Support_Touch_Count,6.9834157022598955
Daily_Resistance_Touch_Count,9.228223575660822
Dist_Daily_Support,0.0002213866141589513
Dist_Daily_Resistance,0.0002523519373222799
Nearest_Weekly_Support,108470503.55942295
Nearest_Weekly_Resistance,111433724.0236263
Weekly_Support_Touch_Count,12.49436520422548
Weekly_Resistance_Touch_Count,19.798696657063484
Dist_Weekly_Support,0.0001943416459427711
Dist_Weekly_Resistance,0.00014345263129987928
Nearest_Monthly_Support,108551583.54183975
Nearest_Monthly_Resistance,111250122.95719081
Monthly_Support_Touch_Count,18.488785268207714
Monthly_Resistance_Touch_Count,32.963229095830926
Dist_Monthly_Support,0.0001925269368932015
Dist_Monthly_Resistance,0.0001377006591792432
Trendline_Support_Value,102390660.6370445
Trendline_Resistance_Value,115993956.37477313
Dist_Trendline_Support,0.0025562568363961427
Dist_Trendline_Resistance,0.0029539896797813312
Trendline_Slope_Up,0.0027573026877089042
Trendline_Slope_Down,0.002351182552015817
Trendline_Support_Slope,0.0027573026877089042
Trendline_Resistance_Slope,0.002351182552015817
Daily_Support_Break,0.0
Daily_Resistance_Break,0.0
Weekly_Support_Break,0.0
Weekly_Resistance_Break,0.0
Monthly_Support_Break,0.0
Monthly_Resistance_Break,0.0
Trendline_Support_Break,0.13782554954163112
Trendline_Resistance_Break,0.1479233128989412
