,regime_score,regime_score,regime_score,regime_score,regime_score,regime_score,regime_score,regime_score,raw_regime_score,raw_regime_score,raw_regime_score,raw_regime_score,raw_regime_score,raw_regime_score,raw_regime_score,raw_regime_score,trend_score,trend_score,trend_score,trend_score,trend_score,trend_score,trend_score,trend_score,structure_score,structure_score,structure_score,structure_score,structure_score,structure_score,structure_score,structure_score,volatility_score,volatility_score,volatility_score,volatility_score,volatility_score,volatility_score,volatility_score,volatility_score,persistence_score,persistence_score,persistence_score,persistence_score,persistence_score,persistence_score,persistence_score,persistence_score
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFTY_50,1033.0,55.1400587056473,12.965273109172587,21.3699221491332,50.11255419934561,58.98972692653482,64.34176781948108,77.45541436026235,1033.0,55.1400587056473,12.965273109172587,21.3699221491332,50.11255419934561,58.98972692653482,64.34176781948108,77.45541436026235,1033.0,63.74006483802224,17.937621941751175,20.980259555268486,58.363784167334146,70.76204717494163,76.77793572984986,89.87916187875962,1033.0,39.2681776607214,5.941768475497275,18.711957953743173,35.784729512149504,38.73678221534629,42.69023002284844,55.945112035479895,1033.0,50.686348777564184,5.73415319872481,35.88828131293438,48.064102010932054,52.1834128272709,54.646801295042145,61.103536594157525,1033.0,19.23211788749059,22.65981191168981,-35.66666666666667,1.7777777777777777,25.222222222222225,34.888888888888886,50.0
NIFTY_MIDCAP_100,1170.0,60.18287508162354,13.695154764305359,20.057536349174043,53.62892952863819,64.27934390859704,70.66186541958353,83.74639259365657,1170.0,60.18287508162354,13.695154764305359,20.057536349174043,53.62892952863819,64.27934390859704,70.66186541958353,83.74639259365657,1170.0,70.20476254724399,18.376497259991307,19.015039945224434,61.098323676798906,76.09272644121575,84.23568109727464,90.55717581047259,1170.0,39.778558015738206,8.023463028398378,17.988694136636443,34.58195704400641,39.345053443934454,44.93094077585707,69.58895703031982,1170.0,58.530246426877525,6.127054586903493,41.655877746287636,55.187668084971705,59.75577080331594,63.4556931478356,69.93625795184322,1170.0,23.784615384615385,22.068280970900787,-34.66666666666667,8.38888888888889,29.11111111111111,41.27777777777778,50.0
NIFTY_SMALLCAP_250,391.0,40.74830083569365,14.416641975143222,14.971617847050435,28.979828754748723,37.04892027825981,55.288158211995736,69.4697847525744,391.0,40.74830083569365,14.416641975143222,14.971617847050435,28.979828754748723,37.04892027825981,55.288158211995736,69.4697847525744,391.0,43.01519157568781,19.78154644762558,15.509755301477906,25.290308689752834,37.88514334237047,61.674997315286575,81.84123320856094,391.0,36.57375936919908,9.496812869872125,8.015064805130299,30.52414663334357,36.592388127549256,43.4176849575512,56.270563996750326,391.0,47.6759881335782,6.6065710314469115,36.79613790070129,41.735084646453494,46.50803822055084,53.92151538150931,61.44585186510313,391.0,-7.115089514066496,18.79701428636235,-45.111111111111114,-22.555555555555557,-6.555555555555556,5.666666666666666,34.0
